,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,600685.SH,20220609,16.200000000000003,6450.1078,0.27,288.4438,-107.13,-0.016609024735989682,-38.12,41.18
1,600685.SH,20220531,16.28,10652.4388,0.24,289.8682,-929.42,-0.08724950384131754,-38.12,41.18
2,600685.SH,20220530,16.37,14474.996,0.23,291.4707,-999.9700000000003,-0.06908257522143704,-38.12,41.18
3,600685.SH,20220526,15.78,12970.477499999999,0.22,280.9656,-622.9199999999998,-0.04802598824908334,-38.12,41.18
4,600685.SH,20220524,15.28,19742.2397,0.21,272.063,-98.9900000000003,-0.005014122080586445,-38.12,41.18
5,600685.SH,20220523,15.63,12638.6533,0.22,278.2948,351.4699999999999,0.02780913374686842,-38.12,41.18
6,600685.SH,20220518,14.99,5555.3112,0.23,266.8995,-614.0099999999999,-0.1105266614046752,-38.12,41.18
7,600685.SH,20220513,14.95,4140.8573,0.22,266.1873,102.86000000000001,0.024840266772776745,-38.12,41.18
8,600685.SH,20220506,14.76,6962.104300000001,0.22,262.8043,-462.18999999999994,-0.06638653775985515,-38.12,41.18
9,600685.SH,20220427,13.9,8140.5087,0.22,247.4919,-1059.3600000000001,-0.13013437354351087,0.54,-97.83
10,600685.SH,20220426,13.4,9756.6365,0.22,238.5893,-768.4100000000001,-0.07875767432762305,0.54,-97.83
11,600685.SH,20220419,17.0,7536.0963,0.22,302.6879,-236.84999999999997,-0.03142873851014881,0.54,-97.83
12,600685.SH,20220413,16.35,6618.736800000001,0.22,291.1146,-304.6400000000001,-0.0460269095456402,0.54,-97.83
13,600685.SH,20220412,16.48,12470.632000000001,0.22,293.4292,-798.02,-0.06399194523581482,0.54,-97.83
14,600685.SH,20220406,16.94,4628.1902,0.24,301.6196,-311.88,-0.0673870317602764,0.54,-97.83
15,600685.SH,20220328,16.849999999999998,6634.963400000001,0.23,6.5034,-769.7599999999999,-0.11601571155614812,3.26,-99.82
