,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,000030.SZ,20220609,2570.3607,0.34,12.1142,-238.76,-0.0928896866498153,-12.56,-89.12,5.63
1,000030.SZ,20220608,4026.3987,0.36,12.523,-100.43,-0.0249428850650085,-12.56,-89.12,5.82
2,000030.SZ,20220607,3977.5801,0.36,12.437,-341.81,-0.0859341588117861,-12.56,-89.12,5.78
3,000030.SZ,20220606,5291.953100000001,0.36,12.6737,234.57,0.044325789659776,-12.56,-89.12,5.89
4,000030.SZ,20220601,7540.4,0.37,12.4585,361.3399999999999,0.0479205347196435,-12.56,-89.12,5.79
5,000030.SZ,20220531,4878.5724,0.32,12.2433,-77.65000000000009,-0.0159165414866037,-12.56,-89.12,5.69
6,000030.SZ,20220530,10860.1374,0.35,12.3294,1981.29,0.1824369183395414,-12.56,-89.12,5.73
7,000030.SZ,20220527,2623.5357,0.31,11.5548,131.98000000000002,0.0503061574500396,-12.56,-89.12,5.37
8,000030.SZ,20220525,4720.2409,0.31,11.6839,129.0,0.0273291136475682,-12.56,-89.12,5.43
9,000030.SZ,20220524,7891.3073,0.31,11.4902,-374.39,-0.0474433431327658,-12.56,-89.12,5.34
10,000030.SZ,20220523,4441.677,0.34,11.7915,-146.05999999999997,-0.0328839760297743,-12.56,-89.12,5.48
11,000030.SZ,20220519,3099.5884,0.32,11.4042,-260.85,-0.0841563350798448,-12.56,-89.12,5.3
12,000030.SZ,20220518,3596.9174,0.31,11.4042,-100.38,-0.0279072296739424,-12.56,-89.12,5.3
13,000030.SZ,20220517,7364.7603,0.3,11.4472,991.79,0.134666976194731,-12.56,-89.12,5.32
14,000030.SZ,20220516,8823.527,0.34,11.4472,1502.1,0.1702380465317327,-12.56,-89.12,5.32
15,000030.SZ,20220513,5690.0872,0.35,11.2105,591.1700000000001,0.1038947171143528,-12.56,-89.12,5.21
16,000030.SZ,20220512,8436.545,0.38,11.0168,-711.38,-0.0843212476197305,-12.56,-89.12,5.12
