,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,002266.SZ,20220609,9714.4056,1.46,10.522,-891.4599999999998,-0.0917668086660906,26.79,-28.45,4.53
1,002266.SZ,20220608,14789.0513,1.5,10.731,536.3400000000001,0.0362660179561349,26.79,-28.45,4.62
2,002266.SZ,20220607,14311.5806,1.52,10.824,927.4500000000002,0.0648041628609491,26.79,-28.45,4.66
3,002266.SZ,20220606,12392.3615,1.55,11.033,-1953.6700000000003,-0.1576511466357723,26.79,-28.45,4.75
4,002266.SZ,20220602,13400.1784,1.49,10.9401,643.3599999999999,0.0480113011032748,26.79,-28.45,4.71
5,002266.SZ,20220601,7864.921400000001,1.48,10.6846,-880.9100000000001,-0.1120049337047411,26.79,-28.45,4.6
6,002266.SZ,20220531,10502.9713,1.49,10.8007,-550.08,-0.0523737506547313,26.79,-28.45,4.65
7,002266.SZ,20220530,8578.827000000001,1.46,10.6846,-147.62000000000006,-0.0172074806963702,26.79,-28.45,4.6
8,002266.SZ,20220523,8340.605899999999,1.5,10.6846,379.2099999999998,0.0454655218753352,26.79,-28.45,4.6
9,002266.SZ,20220520,14057.7149,1.51,10.7078,-1172.5200000000002,-0.0834075814128226,26.79,-28.45,4.61
10,002266.SZ,20220519,23624.1495,1.48,10.6149,1827.79,0.0773695577908529,26.79,-28.45,4.57
11,002266.SZ,20220518,7990.153,1.48,10.1039,-148.25000000000006,-0.018554087762775,26.79,-28.45,4.35
12,002266.SZ,20220517,6390.4921,1.47,10.0342,-941.8,-0.1473751919668283,26.79,-28.45,4.32
13,002266.SZ,20220513,8260.3956,1.51,10.0807,724.6099999999999,0.0877209803365833,26.79,-28.45,4.34
14,002266.SZ,20220512,9481.6676,1.51,10.0575,-268.6099999999998,-0.0283294048401359,26.79,-28.45,4.33
15,002266.SZ,20220511,14012.6799,1.52,10.1039,-1913.62,-0.136563456359265,26.79,-28.45,4.35
16,002266.SZ,20220510,12538.0707,1.46,10.1271,93.41999999999962,0.0074509071000851,26.79,-28.45,4.36
17,002266.SZ,20220506,14906.803,1.43,9.6394,-70.58999999999969,-0.0047354218070769,26.79,-28.45,4.15
18,002266.SZ,20220505,18887.1932,1.43,10.1504,-2413.44,-0.1277818241410269,26.79,-28.45,4.37
19,002266.SZ,20220429,11883.3434,1.46,17.6631,1644.08,0.1383516359545748,87.51,138.17,4.48
20,002266.SZ,20220428,9451.5316,1.44,16.8746,-717.66,-0.0759305507691472,87.51,138.17,4.28
