,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,601816.SH,20220530,4.81,17023.3543,2.6,49.0483,-712.36,-0.04184604205764548,-1.13,-31.57
1,601816.SH,20220527,4.75,23477.5844,2.58,48.4364,-1871.4200000000003,-0.07971092630807454,-1.13,-31.57
2,601816.SH,20220526,4.73,24619.4081,2.54,48.2325,1247.12,0.05065597007590121,-1.13,-31.57
3,601816.SH,20220523,4.62,18527.422899999998,2.53,47.1108,1432.3899999999999,0.07731188561578092,-1.13,-31.57
4,601816.SH,20220517,4.53,9979.7494,2.47,46.1931,-81.52000000000001,-0.008168541787231651,-1.13,-31.57
5,601816.SH,20220513,4.5,16410.5412,2.43,45.8871,2387.82,0.14550525609722123,-1.13,-31.57
6,601816.SH,20220512,4.49,16980.6122,2.43,45.7852,1977.6499999999999,0.11646517667955457,-1.13,-31.57
7,601816.SH,20220510,4.42,23547.2879,2.45,45.0714,22.51999999999981,0.0009563734089308778,-1.13,-31.57
8,601816.SH,20220428,4.5600000000000005,40856.802,2.47,46.499,2495.400000000001,0.06107673331848148,16.11,49.15
9,601816.SH,20220427,4.680000000000001,25048.149400000002,2.49,47.7226,941.1700000000003,0.037574432544705286,16.11,49.15
10,601816.SH,20220426,4.65,22743.336,2.48,47.4167,-544.3000000000004,-0.023932285043847586,16.11,49.15
11,601816.SH,20220419,4.88,12858.2867,2.5,74.2179,-2184.2,-0.16986710990041928,33.89,135.16
12,601816.SH,20220414,4.96,13658.363800000001,2.5,75.4346,-525.2999999999998,-0.03845995081782781,33.89,135.16
13,601816.SH,20220412,5.069999999999999,47628.9809,2.49,77.1075,6673.420000000002,0.14011259266729348,33.89,135.16
14,601816.SH,20220406,4.98,28123.1898,2.55,75.7388,-1353.42,-0.04812469743385937,33.89,135.16
15,601816.SH,20220330,4.779999999999999,23610.8791,2.56,72.697,-2953.1,-0.1250736996065513,33.89,135.16
16,601816.SH,20220321,4.8100000000000005,32676.095,2.58,73.1533,-5390.43,-0.16496555050412237,33.89,135.16
17,601816.SH,20220318,4.93,77958.05720000001,2.61,74.9783,811.1100000000006,0.010404440915184845,33.89,135.16
18,601816.SH,20220308,5.04,29198.2517,2.41,76.6513,1825.46,0.06251949667246687,33.89,135.16
19,601816.SH,20220303,5.23,30694.9528,2.35,79.5409,2083.88,0.0678899887410806,33.89,135.16
20,601816.SH,20220228,5.16,30756.555099999998,2.27,78.4763,-4388.02,-0.14266942398890442,33.89,135.16
21,601816.SH,20220225,5.1,33712.6544,2.25,77.5638,-5488.39,-0.16279910608284823,33.89,135.16
22,601816.SH,20220223,5.3,29672.109000000004,2.2,80.6055,-1356.079999999999,-0.04570217775891828,33.89,135.16
23,601816.SH,20220211,5.3500000000000005,47751.0233,1.82,81.3659,-3143.74,-0.06583607601975724,33.89,135.16
