,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,603915.SH,20220609,17.900000000000002,10426.1477,3.89,25.6673,-505.1099999999999,-0.04844646503521142,-5.05,-18.55
1,603915.SH,20220607,25.91,9126.5709,2.94,26.5379,-297.97999999999996,-0.0326497217043479,-5.05,-18.55
2,603915.SH,20220606,26.41,14916.853700000001,3.1,27.05,947.04,0.06348791903751123,-5.05,-18.55
3,603915.SH,20220601,24.15,18229.2428,3.43,24.7353,539.2500000000002,0.029581590739468356,-5.05,-18.55
4,603915.SH,20220524,21.5,12034.5069,5.16,22.021,-1060.49,-0.0881207687869621,-5.05,-18.55
5,603915.SH,20220523,22.02,10903.019400000001,5.5,22.5536,320.9799999999999,0.029439551396193964,-5.05,-18.55
6,603915.SH,20220520,22.0,16775.5829,6.19,22.5332,700.05,0.04173029361620573,-5.05,-18.55
7,603915.SH,20220519,21.11,8667.120200000001,6.73,21.6216,-78.46999999999994,-0.009053756979163613,-5.05,-18.55
8,603915.SH,20220517,19.97,15170.9815,6.96,20.454,-44.039999999999964,-0.0029029104016770413,-5.05,-18.55
9,603915.SH,20220516,20.2,24632.5412,7.07,20.6895,1146.56,0.04654655768930572,-5.05,-18.55
10,603915.SH,20220512,19.6,17844.6016,8.42,20.075,717.6299999999999,0.040215523780592545,-5.05,-18.55
11,603915.SH,20220511,20.48,8634.9096,9.43,20.9763,720.44,0.08343341544652651,-5.05,-18.55
12,603915.SH,20220429,19.56,8730.8644,8.96,20.034,-33.85999999999993,-0.003878195611421926,-5.05,-18.55
13,603915.SH,20220426,18.97,8483.509600000001,8.48,24.9973,-944.86,-0.11137607482639024,43.95,45.67
14,603915.SH,20220422,21.71,8637.6201,7.63,28.6079,-914.9899999999999,-0.10593079915612402,43.95,45.67
15,603915.SH,20220421,22.07,7082.7049,7.02,29.0823,-584.1,-0.08246849307529389,43.95,45.67
