,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,600509.SH,20220608,4.86,5167.6615,0.0,,-14.809999999999945,-0.0028658997885213544,28.85,-341.06
1,600509.SH,20220606,4.82,4653.8147,0.0,,-409.8800000000001,-0.0880739836934204,28.85,-341.06
2,600509.SH,20220602,4.72,2838.2915000000003,0.0,,-152.04000000000002,-0.05356743660755071,28.85,-341.06
3,600509.SH,20220523,4.73,11541.5713,0.0,,1635.06,0.1416670189439457,28.85,-341.06
4,600509.SH,20220520,4.45,3478.0427000000004,0.0,,135.0,0.038814934618255255,28.85,-341.06
5,600509.SH,20220517,4.32,1490.1289000000002,0.0,,2.1599999999999966,0.0014495390298114453,28.85,-341.06
6,600509.SH,20220516,4.35,1997.4739000000002,0.0,,3.8100000000000023,0.001907409153130863,28.85,-341.06
7,600509.SH,20220510,4.33,2549.7154,0.0,,163.3,0.06404636376279486,28.85,-341.06
8,600509.SH,20220427,4.36,3872.4139000000005,0.0,,-251.85000000000002,-0.06503695279060949,44.31,-192.38
9,600509.SH,20220426,4.13,3561.6027999999997,0.0,,-289.33000000000004,-0.08123589750097908,44.31,-192.38
10,600509.SH,20220414,5.31,3395.9661,0.0,125.9834,147.31,0.0433779359576057,30.78,158.11
11,600509.SH,20220413,5.35,5246.5055999999995,0.0,126.9325,47.42999999999997,0.009040302939922522,30.78,158.11
12,600509.SH,20220412,5.41,4549.073,0.0,128.356,-16.870000000000005,-0.00370844785300214,30.78,158.11
13,600509.SH,20220411,5.37,7005.8945,0.0,127.407,101.67000000000003,0.014512065518542996,30.78,158.11
14,600509.SH,20220407,5.22,6357.1080999999995,0.0,123.8481,-56.430000000000064,-0.008876677745970698,30.78,158.11
15,600509.SH,20220406,5.24,3282.4849000000004,0.0,124.3226,-558.4200000000001,-0.17012111769348887,30.78,158.11
16,600509.SH,20220330,5.18,3636.6654000000003,0.0,122.8991,-209.73000000000002,-0.057670964175037934,30.78,158.11
17,600509.SH,20220328,5.28,3144.3651,0.0,125.2717,-225.61,-0.07175057374857646,30.78,158.11
18,600509.SH,20220325,5.18,2722.784,0.0,122.8991,-197.39000000000001,-0.07249565150963132,30.78,158.11
19,600509.SH,20220324,5.21,3817.0116000000003,0.0,123.6109,-274.7999999999999,-0.07199349354872274,30.78,158.11
20,600509.SH,20220322,5.31,3921.2491,0.0,125.9834,-205.33000000000007,-0.0523634165449984,30.78,158.11
21,600509.SH,20220316,5.11,6887.0436,0.0,121.2383,-780.53,-0.11333309985143697,30.78,158.11
22,600509.SH,20220310,5.64,11064.3912,0.0,133.8129,468.3699999999999,0.04233129428757001,30.78,158.11
23,600509.SH,20220224,5.21,8473.7922,0.0,123.6109,-291.94999999999993,-0.03445328763195302,30.78,158.11
24,600509.SH,20220221,5.32,2947.2127,0.0,126.2207,-340.59000000000003,-0.11556342709842422,30.78,158.11
25,600509.SH,20220217,5.28,3149.88,0.0,125.2717,-269.64,-0.08560326107661244,30.78,158.11
26,600509.SH,20220211,5.35,4179.9625,0.0,126.9325,-111.22000000000006,-0.026607894209577255,30.78,158.11
27,600509.SH,20220210,5.41,4095.7563999999998,0.0,128.356,-470.19,-0.1147993078885258,30.78,158.11
28,600509.SH,20220209,5.39,4491.1973,0.0,127.8815,-52.08999999999992,-0.011598243524059814,30.78,158.11
29,600509.SH,20220126,5.57,2930.5695,0.0,132.1521,121.75,0.04154482601419281,30.78,158.11
30,600509.SH,20220121,6.03,2660.4795,0.0,143.0659,174.92000000000002,0.0657475466358602,30.78,158.11
31,600509.SH,20220120,6.05,6367.4142,0.0,143.5404,-315.90000000000003,-0.04961197592580047,30.78,158.11
32,600509.SH,20220114,6.14,9691.5272,0.0,145.6757,1059.6100000000001,0.10933364557858333,30.78,158.11
33,600509.SH,20220112,6.31,11330.8477,0.0,149.7091,-1172.9900000000002,-0.10352182211398007,30.78,158.11
34,600509.SH,20220110,6.39,6160.3322,0.0,151.6072,286.42999999999995,0.04649586916757508,30.78,158.11
35,600509.SH,20220106,6.59,9800.0292,0.0,156.3523,-363.97999999999996,-0.037140705662387204,30.78,158.11
36,600509.SH,20211231,6.4,11729.2541,0.0,151.8444,-711.3700000000002,-0.06064921042165846,30.78,158.11
37,600509.SH,20211230,6.29,5565.9646,0.0,149.2346,-241.94000000000017,-0.043467757592277924,30.78,158.11
38,600509.SH,20211223,6.68,18837.679,0.0,158.4876,-2633.629999999999,-0.13980650163961278,30.78,158.11
39,600509.SH,20211221,6.55,9073.3828,0.0,155.4033,-679.2200000000001,-0.07485851914018223,30.78,158.11
40,600509.SH,20211206,6.45,13291.5949,0.0,153.0307,-2838.4500000000003,-0.21355225022694607,30.78,158.11
41,600509.SH,20211202,6.37,7288.5807,0.0,151.1327,-84.4199999999999,-0.011582501926609649,30.78,158.11
42,600509.SH,20211201,6.49,9208.0158,0.0,153.9797,-421.82,-0.045810086468357276,30.78,158.11
43,600509.SH,20211125,6.6,12833.1772,0.0,156.5896,-1516.5000000000002,-0.11817026885594631,30.78,158.11
44,600509.SH,20211118,6.61,9175.1966,0.0,156.8268,1.710000000000079,0.000186372028257147,30.78,158.11
45,600509.SH,20211103,6.12,5832.7939,0.0,145.2012,-140.79000000000008,-0.024137660684359186,30.78,158.11
46,600509.SH,20211029,6.23,7542.7974,0.0,147.8111,247.67000000000007,0.03283529794927278,30.78,158.11
47,600509.SH,20211027,6.4,11047.016899999999,0.0,151.8444,-986.7000000000002,-0.08931823033601047,30.78,158.11
48,600509.SH,20211020,6.87,18447.1673,0.0,162.9955,-241.49000000000007,-0.013090898785311068,30.78,158.11
49,600509.SH,20211019,6.84,22831.4234,0.0,162.2837,834.6299999999997,0.036556196491892824,30.78,158.11
50,600509.SH,20211015,6.52,9854.5205,0.0,154.6915,-528.72,-0.05365253438764474,29.5,868.69
51,600509.SH,20211011,7.11,19466.5707,0.0,168.6897,-132.20999999999958,-0.006791643070445869,29.5,868.69
52,600509.SH,20211008,7.33,25594.2029,0.0,173.9093,1042.610000000001,0.04073617780063785,29.5,868.69
53,600509.SH,20210928,7.41,32185.1288,0.0,175.8074,-438.9199999999998,-0.013637354155935514,29.5,868.69
54,600509.SH,20210917,7.87,51387.5164,0.0,186.7212,2615.3,0.05089368358732356,29.5,868.69
55,600509.SH,20210915,7.74,29127.902899999997,0.0,183.6369,204.86999999999955,0.007033462062248208,29.5,868.69
56,600509.SH,20210908,8.14,50650.8872,0.0,193.1271,-977.2499999999995,-0.01929383775927225,29.5,868.69
57,600509.SH,20210907,8.15,61821.094900000004,0.0,193.3644,1609.8400000000001,0.026040302304642618,29.5,868.69
58,600509.SH,20210906,7.71,34628.350099999996,0.0,182.9251,2495.89,0.07207649203015307,29.5,868.69
59,600509.SH,20210831,7.25,24879.5173,0.0,172.0113,-4404.570000000001,-0.1770359909675579,29.5,868.69
60,600509.SH,20210827,7.43,22620.5186,0.0,176.2819,-1989.8399999999997,-0.08796615299527216,29.5,868.69
61,600509.SH,20210825,7.52,35625.6978,0.0,178.4172,-2170.39,-0.060922034767835476,29.5,868.69
62,600509.SH,20210824,7.72,59378.1196,0.0,183.1623,4390.439999999999,0.07394036775795775,29.5,868.69
63,600509.SH,20210819,7.07,17593.4011,0.0,167.7406,-1760.2400000000002,-0.10005114929142384,20.29,134.28
64,600509.SH,20210816,7.17,27463.4426,0.0,170.1132,-1206.17,-0.04391911158290112,20.29,134.28
65,600509.SH,20210812,7.07,26296.777299999998,0.0,167.7406,-966.8699999999994,-0.03676762323267648,20.29,134.28
66,600509.SH,20210811,7.04,23829.7728,0.0,167.0289,-1015.6199999999998,-0.04261979367256073,20.29,134.28
67,600509.SH,20210806,6.92,41683.9293,0.0,164.1818,1063.9100000000008,0.025523265629375316,20.29,134.28
68,600509.SH,20210802,6.41,13475.0381,0.0,152.0817,-1021.0899999999998,-0.07577640912198978,20.29,134.28
69,600509.SH,20210728,6.03,18218.066899999998,0.0,143.0659,-1882.7199999999996,-0.1033435660509074,20.29,134.28
70,600509.SH,20210726,6.48,16974.7736,0.0,153.7425,-2236.91,-0.13177848805005563,20.29,134.28
71,600509.SH,20210722,6.84,21828.1999,0.0,162.2837,989.5100000000001,0.04533172705643034,20.29,134.28
72,600509.SH,20210721,6.67,23170.5296,0.0,158.2504,-2558.22,-0.11040835251344447,20.29,134.28
73,600509.SH,20210713,7.24,31313.2663,0.0,171.774,-326.9499999999996,-0.01044126144068208,20.29,134.28
74,600509.SH,20210706,7.27,29018.9478,0.0,172.4858,144.87000000000023,0.00499225543939261,20.29,134.28
75,600509.SH,20210630,7.65,51174.822499999995,0.0,181.5015,-5712.509999999998,-0.11162735347054695,20.29,134.28
76,600509.SH,20210629,7.64,61030.5338,0.0,181.2643,-11650.51,-0.1908964132311096,20.29,134.28
77,600509.SH,20210628,8.24,63594.81629999999,0.0,195.4997,-1087.3400000000001,-0.017097934442810873,20.29,134.28
78,600509.SH,20210625,8.09,46990.9396,0.0,191.9408,-3668.829999999999,-0.0780752636833846,20.29,134.28
79,600509.SH,20210623,8.36,97764.0497,0.0,198.3468,4744.429999999999,0.04852939311085023,20.29,134.28
80,600509.SH,20210622,7.88,90454.6727,0.0,186.9585,-7206.450000000002,-0.07966918440908805,20.29,134.28
81,600509.SH,20210618,7.95,90791.9757,0.0,188.6193,-2661.7500000000036,-0.029317018155823694,20.29,134.28
82,600509.SH,20210611,7.62,83801.66,0.0,180.7898,1203.3199999999988,0.014359142766384326,20.29,134.28
83,600509.SH,20210609,7.37,82147.1572,0.0,174.8583,40.79999999999927,0.0004966696522518161,20.29,134.28
84,600509.SH,20210608,7.05,114245.43899999998,0.0,167.2661,-17346.109999999997,-0.1518319694145514,20.29,134.28
85,600509.SH,20210607,6.94,23659.1135,0.0,164.6563,13308.21,0.5624982525232823,20.29,134.28
86,600509.SH,20210604,6.31,28472.7146,0.0,149.7091,-4122.56,-0.14478984732983627,20.29,134.28
87,600509.SH,20210603,6.53,35366.6811,0.0,154.9288,-4125.860000000001,-0.11665951883735,20.29,134.28
88,600509.SH,20210601,6.49,32889.7327,0.0,153.9797,-3829.27,-0.11642751964353909,20.29,134.28
89,600509.SH,20210531,6.68,38331.3076,0.0,158.4876,-1172.96,-0.030600573615704153,20.29,134.28
90,600509.SH,20210525,6.34,29328.9294,0.0,150.4209,-3871.4300000000003,-0.1320003859397609,20.29,134.28
91,600509.SH,20210521,6.63,57846.65180000001,0.0,157.3013,-717.6699999999992,-0.012406422457799002,20.29,134.28
92,600509.SH,20210513,6.06,28554.7337,0.0,143.7777,-1859.3,-0.06511354718044525,20.29,134.28
