,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,000811.SZ,20220609,7729.3504,0.49,23.1799,-316.49,-0.0409465199041823,13.01,-5.0,9.35
1,000811.SZ,20220608,9429.3135,0.54,23.9485,-772.21,-0.0818946151276018,13.01,-5.0,9.66
2,000811.SZ,20220607,10119.4124,0.55,24.2955,-2196.63,-0.2170709042355068,13.01,-5.0,9.8
3,000811.SZ,20220606,10628.924,0.6,24.7914,-144.2299999999998,-0.0135695767511367,13.01,-5.0,10.0
4,000811.SZ,20220602,10764.2765,0.54,24.6674,1515.42,0.1407823368342498,13.01,-5.0,9.95
5,000811.SZ,20220601,8726.915700000001,0.54,23.8989,-78.58000000000004,-0.0090043266947107,13.01,-5.0,9.64
6,000811.SZ,20220530,7672.4656,0.52,23.4774,-1411.9899999999998,-0.1840334090256461,13.01,-5.0,9.47
7,000811.SZ,20220527,7444.8945,0.49,23.3535,555.24,0.0745799688632256,13.01,-5.0,9.42
8,000811.SZ,20220523,7362.1531,0.68,24.0476,266.9800000000001,0.0362638478680917,13.01,-5.0,9.7
9,000811.SZ,20220520,8373.4027,0.7,23.6262,-822.2299999999998,-0.0981954444875796,13.01,-5.0,9.53
10,000811.SZ,20220519,7416.7122,0.74,23.3783,-508.1699999999999,-0.0685168827233177,13.01,-5.0,9.43
11,000811.SZ,20220518,9586.9173,0.75,23.1551,1187.17,0.1238322980005262,13.01,-5.0,9.34
12,000811.SZ,20220517,5511.7483,0.78,22.5602,-45.739999999999895,-0.0082986372944497,13.01,-5.0,9.1
13,000811.SZ,20220516,5595.936299999999,0.79,22.4362,-171.17000000000007,-0.0305882681330736,13.01,-5.0,9.05
14,000811.SZ,20220513,4930.5254,0.82,22.6345,261.36,0.0530085495553881,13.01,-5.0,9.13
15,000811.SZ,20220512,8319.2709,0.88,22.5602,255.62,0.0307262503015739,13.01,-5.0,9.1
16,000811.SZ,20220511,12552.0222,0.83,22.7833,19.700000000000045,0.0015694682248092,13.01,-5.0,9.19
17,000811.SZ,20220506,8412.3287,0.55,21.2462,-1236.02,-0.1469295891873554,13.01,-5.0,8.57
18,000811.SZ,20220505,14694.6814,0.55,22.0147,481.3000000000004,0.0327533470715466,13.01,-5.0,8.88
19,000811.SZ,20220429,9738.8493,0.62,22.3866,1649.83,0.1694070776924333,33.14,35.2,9.03
20,000811.SZ,20220428,7560.4492,0.53,20.9239,-190.03000000000003,-0.025134749929938,33.14,35.2,8.44
21,000811.SZ,20220425,12743.7312,0.47,20.7256,-3493.689999999999,-0.2741496933017544,33.14,35.2,8.36
22,000811.SZ,20220422,7936.1628,0.38,23.0312,-686.61,-0.0865166223656601,33.14,35.2,9.29
23,000811.SZ,20220421,11737.3403,0.33,23.3783,-1977.03,-0.1684393524826063,33.14,35.2,9.43
24,000811.SZ,20220420,7430.9109,0.35,24.9649,-669.3399999999999,-0.0900750942929486,33.14,35.2,10.07
25,000811.SZ,20220419,8803.3115,0.35,25.8822,-904.62,-0.1027590583384445,33.14,35.2,10.44
26,000811.SZ,20220414,12577.2306,0.3,26.6259,-436.7200000000001,-0.0347230653463569,33.14,35.2,10.74
27,000811.SZ,20220412,19181.8215,0.32,27.2209,505.3599999999996,0.0263457774330763,33.14,35.2,10.98
28,000811.SZ,20220411,13645.261,0.26,26.6755,-35.470000000000255,-0.0025994372698331,33.14,35.2,10.76
29,000811.SZ,20220408,18272.3807,0.4,27.8903,1433.7699999999998,0.0784665131238207,33.14,35.2,11.25
30,000811.SZ,20220407,22951.1002,0.49,29.0307,858.4399999999998,0.0374029999659885,33.14,35.2,11.71
31,000811.SZ,20220406,24791.6834,0.54,29.4026,1050.6100000000004,0.0423775176154435,33.14,35.2,11.86
32,000811.SZ,20220401,14512.7737,0.5,27.2209,-895.3300000000003,-0.0616925488199406,38.65,32.53,10.98
33,000811.SZ,20220331,13974.0845,0.51,37.1722,-1806.71,-0.1292900440096809,38.65,32.53,11.09
34,000811.SZ,20220330,14944.1427,0.51,38.1443,-911.5700000000004,-0.0609984806957176,38.65,32.53,11.38
35,000811.SZ,20220329,22026.8448,0.47,37.7756,-628.9100000000005,-0.0285519785384786,38.65,32.53,11.27
36,000811.SZ,20220325,13650.8481,0.61,40.6247,-961.76,-0.0704542306056427,38.65,32.53,12.12
37,000811.SZ,20220324,23913.0409,0.6,41.9319,1118.9200000000003,0.0467912050449426,38.65,32.53,12.51
38,000811.SZ,20220322,11486.6513,0.73,41.5297,1229.2399999999998,0.1070146527386967,38.65,32.53,12.39
39,000811.SZ,20220318,15325.1006,0.77,41.4962,1216.02,0.0793482556323317,38.65,32.53,12.38
40,000811.SZ,20220317,17070.0901,0.68,40.6582,329.6399999999995,0.0193109701278026,38.65,32.53,12.13
41,000811.SZ,20220316,17557.8114,0.55,38.8817,777.58,0.0442868408986327,38.65,32.53,11.6
42,000811.SZ,20220315,12780.098,0.55,37.2728,-681.7900000000001,-0.0533477912297699,38.65,32.53,11.12
43,000811.SZ,20220314,11904.2358,0.64,39.351,-551.06,-0.0462910857326935,38.65,32.53,11.74
44,000811.SZ,20220310,20606.1219,0.79,41.0269,2007.1499999999996,0.0974055190850831,38.65,32.53,12.24
45,000811.SZ,20220309,16142.7974,0.59,38.4795,-2192.74,-0.1358339540332706,38.65,32.53,11.48
46,000811.SZ,20220308,15487.2602,0.57,39.1498,-1290.7399999999998,-0.0833420490991686,38.65,32.53,11.68
47,000811.SZ,20220304,18312.0763,0.56,42.6693,-1357.91,-0.0741537976226103,38.65,32.53,12.73
48,000811.SZ,20220303,18337.6349,0.51,43.4402,-166.23999999999955,-0.0090655093149444,38.65,32.53,12.96
49,000811.SZ,20220302,7880.422,0.5,43.809,15.580000000000126,0.0019770514827759,38.65,32.53,13.07
