,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,000963.SZ,20220609,96428.0863,2.35,31.0561,8781.39,0.0910667248199863,0.4,-7.12,40.85
1,000963.SZ,20220606,46611.4421,2.33,29.2999,788.1899999999982,0.0169097964896477,0.4,-7.12,38.54
2,000963.SZ,20220602,39814.1319,2.36,29.0034,-3283.82,-0.0824787542334936,0.4,-7.12,38.15
3,000963.SZ,20220601,46700.837,2.4,29.2315,-3058.24,-0.0654857642058963,0.4,-7.12,38.45
4,000963.SZ,20220531,78798.9166,2.39,29.4748,7404.339999999998,0.0939649974832268,0.4,-7.12,38.77
5,000963.SZ,20220530,64549.0607,2.3,28.6613,2098.24,0.0325061275446259,0.4,-7.12,37.7
6,000963.SZ,20220527,43607.2012,2.28,27.8023,-1893.550000000001,-0.0434228739266119,0.4,-7.12,36.57
7,000963.SZ,20220526,39540.6821,2.29,27.8403,776.4700000000016,0.0196372434354136,0.4,-7.12,36.62
8,000963.SZ,20220524,52029.5849,2.27,27.1484,-3163.090000000001,-0.0607940656470622,0.4,-7.12,35.71
9,000963.SZ,20220520,102112.1625,2.29,28.1216,19790.56,0.1938119761198867,0.4,-7.12,36.99
10,000963.SZ,20220519,46713.1275,2.3,26.3958,1821.3,0.0389890400723008,0.4,-7.12,34.72
11,000963.SZ,20220518,35975.9829,2.3,25.8712,-435.1799999999994,-0.0120964033480235,0.4,-7.12,34.03
12,000963.SZ,20220517,78046.2299,2.32,26.1145,8343.369999999999,0.1069029216490058,0.4,-7.12,34.35
13,000963.SZ,20220516,55065.3334,2.4,25.5443,993.48,0.0180418411849659,0.4,-7.12,33.6
14,000963.SZ,20220513,34527.8322,2.48,25.4531,-444.63999999999896,-0.0128777270876565,0.4,-7.12,33.48
15,000963.SZ,20220512,37975.4733,2.52,25.2174,807.1099999999997,0.0212534546606954,0.4,-7.12,33.17
16,000963.SZ,20220511,60505.773,2.51,25.3695,-1985.5199999999995,-0.0328153811042129,0.4,-7.12,33.37
17,000963.SZ,20220510,36000.4926,2.54,25.2402,1532.1299999999997,0.0425585843233711,0.4,-7.12,33.2
18,000963.SZ,20220506,50885.3006,2.59,25.7344,-4451.91,-0.087489116650713,0.4,-7.12,33.85
19,000963.SZ,20220505,51179.350900000005,2.59,25.7344,-1821.7799999999988,-0.0355959965877566,0.4,-7.12,33.85
20,000963.SZ,20220429,87524.8039,2.61,25.9244,-388.9299999999985,-0.0044436546289708,0.4,-7.12,34.1
21,000963.SZ,20220428,62163.7916,2.53,24.594,13084.280000000002,0.2104807262110441,0.4,-7.12,32.35
22,000963.SZ,20220427,64938.7104,2.44,18.2498,303.1800000000003,0.0046687098978793,1.67,-20.74,29.41
23,000963.SZ,20220425,43241.0122,2.7,18.5663,-2181.19,-0.0504426212298517,1.67,-20.74,29.92
24,000963.SZ,20220422,43123.2424,2.67,19.7329,-1278.1600000000003,-0.0296397007475486,1.67,-20.74,31.8
25,000963.SZ,20220421,45550.934,2.61,20.5147,-1043.4700000000007,-0.0229077629890092,1.67,-20.74,33.06
26,000963.SZ,20220419,32468.8823,2.56,21.3462,-4197.999999999998,-0.1292930246631864,1.67,-20.74,34.4
27,000963.SZ,20220412,54383.3113,2.58,20.1362,4902.999999999998,0.0901563344120974,1.67,-20.74,32.45
28,000963.SZ,20220407,30951.7718,2.63,19.888,-3386.73,-0.109419584180315,1.67,-20.74,32.05
29,000963.SZ,20220406,30579.18,2.6,20.614,2627.36,0.0859198971326242,1.67,-20.74,33.22
30,000963.SZ,20220401,26191.7371,2.63,20.4465,-1698.7499999999995,-0.0648582411129958,1.67,-20.74,32.95
31,000963.SZ,20220331,27431.4271,2.62,20.7381,-4252.42,-0.1550200062321949,1.67,-20.74,33.42
32,000963.SZ,20220328,19634.2884,2.58,20.1921,-1770.15,-0.0901560557702717,1.67,-20.74,32.54
33,000963.SZ,20220325,30190.306900000003,2.58,20.3534,-4654.889999999999,-0.1541849182063134,1.67,-20.74,32.8
34,000963.SZ,20220321,30300.7466,2.6,20.8746,-189.75,-0.0062622219348218,1.67,-20.74,33.64
35,000963.SZ,20220318,31432.2694,2.57,20.6078,-2426.5900000000006,-0.0772005981852522,1.67,-20.74,33.21
36,000963.SZ,20220316,58277.7186,2.38,19.7949,-1907.38,-0.0327291466759647,1.67,-20.74,31.9
37,000963.SZ,20220315,92374.8519,2.36,19.0999,-18307.07,-0.1981824016326244,1.67,-20.74,30.78
38,000963.SZ,20220314,37559.5773,2.3,21.2221,-5521.540000000001,-0.1470075117165922,1.67,-20.74,34.2
39,000963.SZ,20220311,47160.3267,2.27,21.8303,-9137.62,-0.1937565033874118,1.67,-20.74,35.18
40,000963.SZ,20220310,36450.9067,2.26,22.1902,-1142.16,-0.0313341999802709,1.67,-20.74,35.76
41,000963.SZ,20220308,50109.7824,2.23,22.0847,-11085.56,-0.2212254667463892,1.67,-20.74,35.59
42,000963.SZ,20220304,93091.6441,2.29,24.0021,4599.050000000003,0.049403467351588,1.67,-20.74,38.68
43,000963.SZ,20220303,57927.628500000006,2.24,23.5429,7019.720000000001,0.1211808627725887,1.67,-20.74,37.94
44,000963.SZ,20220302,32363.901,2.26,23.1458,-240.3599999999992,-0.0074267932039465,1.67,-20.74,37.3
45,000963.SZ,20220301,45471.148,2.27,23.0527,-9398.52,-0.2066919445271098,1.67,-20.74,37.15
46,000963.SZ,20220228,39006.554,2.26,23.5119,-4013.649999999999,-0.1028968106231583,1.67,-20.74,37.89
47,000963.SZ,20220225,84400.12240000001,2.26,23.4623,5932.49,0.0702900639395281,1.67,-20.74,37.81
48,000963.SZ,20220224,69188.7066,2.25,23.152,1140.2099999999982,0.0164797126009578,1.67,-20.74,37.31
49,000963.SZ,20220223,100835.3156,2.28,23.183,8350.420000000002,0.0828124546475858,1.67,-20.74,37.36
50,000963.SZ,20220222,81584.4051,2.21,21.5262,-20813.2,-0.255112481049396,1.67,-20.74,34.69
51,000963.SZ,20220221,30303.1425,2.22,22.7362,-2925.06,-0.0965266226101797,1.67,-20.74,36.64
52,000963.SZ,20220218,29463.4487,2.24,22.8417,-1265.8899999999994,-0.0429647599264236,1.67,-20.74,36.81
53,000963.SZ,20220217,40098.6168,2.23,22.8045,-1315.7999999999995,-0.0328140994629021,1.67,-20.74,36.75
54,000963.SZ,20220216,40361.3587,2.26,23.1148,-4724.849999999999,-0.1170637003357372,1.67,-20.74,37.25
55,000963.SZ,20220215,65764.6272,2.26,23.4312,10474.25,0.1592687504811097,1.67,-20.74,37.76
56,000963.SZ,20220211,70985.4688,2.1,22.5004,-7520.8,-0.1059484444793861,1.67,-20.74,36.26
57,000963.SZ,20220210,48064.6921,2.05,23.5988,-2262.2400000000007,-0.0470665659377021,1.67,-20.74,38.03
58,000963.SZ,20220207,57477.1645,2.0,22.9907,2145.539999999999,0.0373285637637883,1.67,-20.74,37.05
59,000963.SZ,20220128,69009.1268,2.1,22.7114,-262.6200000000008,-0.0038055835826052,1.67,-20.74,36.6
60,000963.SZ,20220126,35865.892,2.14,22.3515,-3671.230000000001,-0.1023599245768096,1.67,-20.74,36.02
61,000963.SZ,20220125,45812.7888,2.16,22.3453,-2655.9800000000005,-0.0579746413516742,1.67,-20.74,36.01
62,000963.SZ,20220124,53585.26899999999,2.18,23.0961,24.470000000001164,0.0004566553542915,1.67,-20.74,37.22
63,000963.SZ,20220121,50707.6102,2.16,23.1644,-5073.78,-0.1000595370199481,1.67,-20.74,37.33
64,000963.SZ,20220120,46654.0702,2.19,23.6981,-282.23,-0.0060494185992801,1.67,-20.74,38.19
65,000963.SZ,20220118,57152.9274,2.12,24.2565,-4152.14,-0.0726496469890359,1.67,-20.74,39.09
66,000963.SZ,20220117,90810.2193,2.04,24.7157,7831.11,0.0862359992120402,1.67,-20.74,39.83
67,000963.SZ,20220114,91234.1143,2.16,24.1883,-12347.509999999998,-0.1353387391847569,1.67,-20.74,38.98
68,000963.SZ,20220113,88249.43000000001,2.04,24.7716,-7332.270000000002,-0.0830857491090877,1.67,-20.74,39.92
69,000963.SZ,20220112,88671.2747,1.97,25.5845,-11641.780000000002,-0.1312914474206831,1.67,-20.74,41.23
70,000963.SZ,20220111,89205.73329999999,1.93,26.0126,-7044.139999999998,-0.0789651039167008,1.67,-20.74,41.92
71,000963.SZ,20220110,114883.6218,1.91,26.0188,-7677.029999999997,-0.0668244078635062,1.67,-20.74,41.93
72,000963.SZ,20220107,187986.4231,1.94,26.9248,12181.58,0.0648003180182856,1.67,-20.74,43.39
73,000963.SZ,20220105,100146.1935,1.87,26.0064,2076.489999999998,0.0207345873809971,1.67,-20.74,41.91
74,000963.SZ,20220104,169690.3293,1.89,26.236,14924.159999999996,0.087949384396651,1.67,-20.74,42.28
75,000963.SZ,20211230,167412.3002,1.88,25.299,5804.099999999995,0.0346694955691194,1.67,-20.74,40.77
76,000963.SZ,20211229,174591.99709999998,1.83,24.9453,25115.520000000004,0.1438526416856022,1.67,-20.74,40.2
77,000963.SZ,20211224,137271.3421,1.97,23.3381,20064.69,0.1461680908268762,1.67,-20.74,37.61
78,000963.SZ,20211221,86778.01629999999,1.97,22.5066,3741.06,0.0431106881616974,1.67,-20.74,36.27
79,000963.SZ,20211217,50591.5761,1.87,22.0661,-9274.12,-0.1833135220311904,1.67,-20.74,35.56
80,000963.SZ,20211216,67059.9855,1.9,22.5253,-3025.390000000001,-0.0451146831816717,1.67,-20.74,36.3
81,000963.SZ,20211215,75930.19769999999,1.83,22.2646,-13682.54,-0.1801989249923947,1.67,-20.74,35.88
82,000963.SZ,20211214,87863.25,1.78,22.7611,-531.1200000000017,-0.0060448481020221,1.67,-20.74,36.68
83,000963.SZ,20211213,72720.1697,1.8,22.6928,5667.749999999996,0.0779391745561341,1.67,-20.74,36.57
84,000963.SZ,20211210,75107.17319999999,1.84,22.3143,-7192.939999999999,-0.0957690150426271,1.67,-20.74,35.96
85,000963.SZ,20211209,129202.6056,1.82,22.4942,9145.340000000002,0.0707829378326407,1.67,-20.74,36.25
86,000963.SZ,20211207,43188.0178,1.77,21.6069,-1062.8999999999992,-0.0246109929129463,1.67,-20.74,34.82
87,000963.SZ,20211206,40276.1349,1.73,21.309,-6125.45,-0.1520863413336119,1.67,-20.74,34.34
88,000963.SZ,20211201,53876.7558,1.75,21.4517,4734.579999999998,0.0878779713013083,1.67,-20.74,34.57
89,000963.SZ,20211130,61299.8856,1.77,21.0298,-5408.039999999999,-0.0882226768788618,1.67,-20.74,33.89
90,000963.SZ,20211129,74459.09969999999,1.78,20.9553,-9436.75,-0.1267373637073401,1.67,-20.74,33.77
91,000963.SZ,20211126,61507.87759999999,1.78,21.1539,-13541.13,-0.2201527760079955,1.67,-20.74,34.09
92,000963.SZ,20211125,44223.6955,1.8,21.8613,-5582.819999999998,-0.1262404676244209,1.67,-20.74,35.23
93,000963.SZ,20211123,59912.21800000001,1.76,22.2274,-10020.7,-0.1672563683087145,1.67,-20.74,35.82
94,000963.SZ,20211122,83260.13029999999,1.76,22.426,-16363.61,-0.1965359643449897,1.67,-20.74,36.14
95,000963.SZ,20211119,73390.24740000001,1.78,22.9286,-2890.9700000000003,-0.0393917462117725,1.67,-20.74,36.95
96,000963.SZ,20211118,65295.1856,1.74,22.8417,-8185.92,-0.1253678954241306,1.67,-20.74,36.81
97,000963.SZ,20211117,99542.5551,1.77,23.1334,4844.039999999999,0.0486630064411517,1.67,-20.74,37.28
98,000963.SZ,20211115,118385.7036,1.7,22.972,11437.570000000002,0.0966127636377877,1.67,-20.74,37.02
99,000963.SZ,20211112,82176.0412,1.69,22.215,3106.26,0.0378000686652693,1.67,-20.74,35.8
100,000963.SZ,20211111,58250.0458,1.69,21.7248,-9083.580000000002,-0.1559411649423973,1.67,-20.74,35.01
101,000963.SZ,20211110,76079.7574,1.73,21.8613,-7777.160000000002,-0.1022237749669796,1.67,-20.74,35.23
102,000963.SZ,20211108,64297.5897,1.79,21.6565,-2674.3899999999994,-0.0415939386293977,1.67,-20.74,34.9
103,000963.SZ,20211104,105549.136,1.77,22.6245,-6370.8200000000015,-0.0603588076741812,1.67,-20.74,36.46
104,000963.SZ,20211103,73888.926,1.76,22.6183,-179.3700000000008,-0.0024275626905173,1.67,-20.74,36.45
105,000963.SZ,20211102,141982.3549,1.76,22.5811,-2957.409999999996,-0.0208294192759581,1.67,-20.74,36.39
106,000963.SZ,20211029,199427.7415,1.81,22.7362,15493.930000000004,0.077691949392106,1.67,-20.74,36.64
107,000963.SZ,20211028,188175.1532,1.76,21.8427,16645.320000000003,0.0884565242378662,1.67,-20.74,35.2
108,000963.SZ,20211027,116718.5482,1.66,20.9615,8519.77,0.0729941395895464,1.67,-20.74,33.78
109,000963.SZ,20211026,54968.2043,1.64,20.4713,505.5799999999999,0.0091976808491086,3.11,-24.89,32.99
110,000963.SZ,20211025,52095.827000000005,1.67,20.6016,-1614.83,-0.0309973004171716,3.11,-24.89,33.2
111,000963.SZ,20211022,59502.2982,1.67,20.4527,-7235.42,-0.1215990006920438,3.11,-24.89,32.96
112,000963.SZ,20211021,78206.1869,1.65,20.8933,-7775.320000000001,-0.0994207786903366,3.11,-24.89,33.67
113,000963.SZ,20211020,121854.1418,1.68,21.309,7010.49,0.057531815467597,3.11,-24.89,34.34
114,000963.SZ,20211019,69176.3817,1.71,20.552,-4315.25,-0.0623803947814749,3.11,-24.89,33.12
115,000963.SZ,20211013,160170.6012,1.77,21.2594,-5307.000000000002,-0.033133421241101,3.11,-24.89,34.26
116,000963.SZ,20211012,238574.4312,1.77,21.5572,5145.27,0.0215667285639954,3.11,-24.89,34.74
117,000963.SZ,20211011,203705.3891,1.79,20.7257,-7791.239999999998,-0.0382475890030343,3.11,-24.89,33.4
118,000963.SZ,20211008,89243.7043,1.89,20.2603,29390.62,0.3293298976160944,3.11,-24.89,32.65
119,000963.SZ,20210930,34314.2236,1.75,18.4173,-2328.6800000000003,-0.0678634034429967,3.11,-24.89,29.68
120,000963.SZ,20210929,45922.1777,1.68,18.1195,-4797.4400000000005,-0.1044689132850074,3.11,-24.89,29.2
121,000963.SZ,20210928,48816.4675,1.67,18.5725,-5739.170000000002,-0.117566270029678,3.11,-24.89,29.93
122,000963.SZ,20210924,80696.4084,1.8,19.0006,7455.720000000001,0.0923922160580321,3.11,-24.89,30.62
123,000963.SZ,20210923,50107.3171,1.79,18.5352,-499.56,-0.0099698013965309,3.11,-24.89,29.87
124,000963.SZ,20210917,87156.5336,1.79,18.4856,-4596.920000000002,-0.0527432633002283,3.11,-24.89,29.79
125,000963.SZ,20210916,49619.7089,1.79,18.2126,1326.34,0.0267301044162312,3.11,-24.89,29.35
126,000963.SZ,20210915,72994.7505,1.84,18.2808,-15005.999999999998,-0.2055764270336125,3.11,-24.89,29.46
127,000963.SZ,20210914,56438.0855,1.82,18.8827,-1432.0200000000011,-0.0253732915869373,3.11,-24.89,30.43
128,000963.SZ,20210908,49503.7338,1.82,19.6212,-9483.340000000002,-0.1915681762170432,3.11,-24.89,31.62
129,000963.SZ,20210907,61201.6088,1.84,19.8446,-4692.01,-0.0766648147327787,3.11,-24.89,31.98
130,000963.SZ,20210906,92547.0153,1.86,19.919,5302.890000000001,0.0572994167646593,3.11,-24.89,32.1
131,000963.SZ,20210903,70327.7645,1.85,19.1868,876.4699999999975,0.0124626455316946,3.11,-24.89,30.92
132,000963.SZ,20210902,63568.2823,1.8,19.0565,-10653.69,-0.1675944293998958,3.11,-24.89,30.71
133,000963.SZ,20210901,86209.2186,1.85,19.4102,139.29000000000087,0.0016157204793409,3.11,-24.89,31.28
134,000963.SZ,20210831,70479.4121,1.8,19.0813,-8662.879999999997,-0.1229136245873991,3.11,-24.89,30.75
135,000963.SZ,20210830,100483.464,1.75,19.7267,2505.1600000000017,0.0249310672649581,3.11,-24.89,31.79
136,000963.SZ,20210827,106138.5496,1.73,19.4909,-1252.5100000000002,-0.0118007077044135,3.11,-24.89,31.41
137,000963.SZ,20210826,249344.8316,1.81,19.3916,-65283.07000000001,-0.2618184206229202,3.11,-24.89,31.25
138,000963.SZ,20210825,151526.1066,1.69,21.5324,-33366.47,-0.2202027805550439,3.11,-24.89,34.7
139,000963.SZ,20210824,113761.2895,1.71,22.6618,-17529.08,-0.1540865093657364,3.11,-24.89,36.52
140,000963.SZ,20210823,97004.1428,1.79,23.0279,-7439.02,-0.0766876525607522,3.11,-24.89,37.11
141,000963.SZ,20210820,163101.1151,1.8,23.5243,-19836.620000000003,-0.1216216087047463,3.11,-24.89,37.91
142,000963.SZ,20210819,193242.0557,1.96,24.1945,24643.89,0.1275286060828217,3.11,-24.89,38.99
143,000963.SZ,20210818,135024.54210000002,1.9,23.0217,-12742.090000000002,-0.0943686962519978,3.11,-24.89,37.1
144,000963.SZ,20210817,220827.8182,2.01,23.7167,13872.279999999995,0.0628194405626745,3.11,-24.89,38.22
145,000963.SZ,20210812,65965.21459999999,2.15,22.4694,-3013.48,-0.0456828651020563,3.11,-24.89,36.21
146,000963.SZ,20210811,114095.0219,2.18,22.4074,-16053.780000000002,-0.1407053500903005,3.11,-24.89,36.11
147,000963.SZ,20210810,150306.38999999998,2.37,23.3257,-797.5400000000009,-0.0053060951034749,3.47,-33.9,37.59
148,000963.SZ,20210809,93808.827,2.41,23.0837,8393.979999999998,0.0894796392667824,3.47,-33.9,37.2
149,000963.SZ,20210804,104059.4472,2.21,23.2202,-8667.989999999998,-0.0832984436611537,3.47,-33.9,37.42
