,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,300627.SZ,20220608,10814.8849,0.72,52.1848,1416.4799999999998,0.1309750416298928,21.97,34.92,28.84
1,300627.SZ,20220607,16874.2117,0.76,51.9134,241.4699999999999,0.0143100018118179,21.97,34.92,28.69
2,300627.SZ,20220606,28777.7989,0.8,50.6106,-1005.0499999999996,-0.0349244917407494,21.97,34.92,27.97
3,300627.SZ,20220602,11672.2557,0.76,47.2269,1133.52,0.0971123345078878,21.97,34.92,26.1
4,300627.SZ,20220601,7764.4128,1.0,46.1412,183.23000000000005,0.0235986937737262,21.97,34.92,25.2899
5,300627.SZ,20220531,10145.7306,0.68,46.1024,1796.0700000000002,0.1770271723950565,21.97,34.92,25.2686
6,300627.SZ,20220530,8793.5406,0.63,44.6678,67.35000000000014,0.0076590309937273,21.97,34.92,24.4823
7,300627.SZ,20220527,7761.126099999999,0.56,43.8923,-268.40999999999985,-0.0345838988494208,21.97,34.92,24.0572
8,300627.SZ,20220524,7436.4625,0.53,42.8079,115.35999999999996,0.0155127521990462,21.97,34.92,23.4834
9,300627.SZ,20220520,8135.3437,0.51,44.5383,113.98000000000008,0.0140104713707424,21.97,34.92,24.4327
10,300627.SZ,20220519,3850.9194,0.52,44.8482,620.1,0.161026481104746,21.97,34.92,24.6027
11,300627.SZ,20220518,3044.1598000000004,0.53,44.1538,385.74,0.1267147670762881,21.97,34.92,24.2273
12,300627.SZ,20220517,2615.3766,0.56,44.0893,95.89,0.0366639358935917,21.97,34.92,24.1918
13,300627.SZ,20220516,5938.4521,0.56,43.9614,-199.6500000000001,-0.0336198720875428,21.97,34.92,24.1989
14,300627.SZ,20220513,3863.5031,0.59,43.3179,119.71999999999996,0.0309874217520363,21.97,34.92,23.8447
15,300627.SZ,20220512,6243.7863,0.59,43.6397,295.41,0.0473126378460454,21.97,34.92,24.0218
16,300627.SZ,20220505,8034.325699999999,0.56,42.4042,269.8499999999999,0.0335871372503606,21.97,34.92,23.3418
17,300627.SZ,20220427,9567.92,0.67,38.4148,-544.1900000000002,-0.0568765207066948,21.97,34.92,21.1457
18,300627.SZ,20220426,6809.5652,0.67,51.3731,-562.1800000000001,-0.0825574002874662,50.84,61.85,18.9214
19,300627.SZ,20220425,8332.023299999999,0.66,53.0849,-1013.7900000000002,-0.1216739276281188,50.84,61.85,19.5518
20,300627.SZ,20220422,7489.0791,0.66,58.0664,439.2099999999999,0.0586467300098352,50.84,61.85,21.3866
21,300627.SZ,20220420,4234.4456,0.65,60.4899,13.159999999999968,0.0031078448616744,50.84,61.85,22.2792
22,300627.SZ,20220419,5630.8682,0.63,60.4322,-126.64999999999992,-0.0224920910064987,50.84,61.85,22.2579
23,300627.SZ,20220414,4105.1988,0.59,61.1438,86.70999999999998,0.0211219977946013,50.84,61.85,22.52
24,300627.SZ,20220413,4363.6774,0.59,62.144,-566.8399999999999,-0.1298996117357346,50.84,61.85,22.8884
25,300627.SZ,20220412,10406.4877,0.59,62.7787,-784.99,-0.0754327514363948,50.84,61.85,23.1222
26,300627.SZ,20220408,10000.0862,0.69,63.6634,-195.86000000000007,-0.0195858311701353,50.84,61.85,23.448
27,300627.SZ,20220407,9055.7027,0.69,65.1252,-438.9200000000001,-0.0484689056764198,50.84,61.85,23.9864
28,300627.SZ,20220406,6560.9105,0.75,66.0676,-705.39,-0.1075140409246551,50.84,61.85,24.3335
29,300627.SZ,20220401,6551.3869,0.75,67.991,-1006.18,-0.1535827474942748,50.84,61.85,25.0419
30,300627.SZ,20220331,4526.9007,0.73,70.126,-33.49999999999997,-0.0074002065033147,50.84,61.85,25.8282
31,300627.SZ,20220330,3852.9672,0.76,70.1067,-339.82000000000005,-0.0881969615521253,50.84,61.85,25.8212
32,300627.SZ,20220329,2973.5787,0.75,68.3565,-192.39,-0.0646998177650384,50.84,61.85,25.1765
33,300627.SZ,20220328,5640.4972,0.74,68.7604,-775.9900000000001,-0.1375747513889378,50.84,61.85,25.3253
34,300627.SZ,20220325,4590.9816,0.71,69.5874,-673.6000000000001,-0.1467224351323909,50.84,61.85,25.6299
35,300627.SZ,20220324,3892.9438,0.71,71.0876,131.75,0.0338432833271315,50.84,61.85,26.1824
36,300627.SZ,20220323,4634.5072,0.72,71.6646,-119.58,-0.0258020960675171,50.84,61.85,26.395
37,300627.SZ,20220322,5141.8858,0.71,70.953,-324.55999999999995,-0.063120810656666,50.84,61.85,26.1329
38,300627.SZ,20220318,9096.8312,0.78,69.6259,537.0500000000004,0.0590370413820584,50.84,61.85,25.6441
39,300627.SZ,20220317,6794.173,0.69,67.7217,517.8499999999998,0.0762197253440558,50.84,61.85,24.9427
40,300627.SZ,20220316,8444.632099999999,0.66,67.0293,-498.25,-0.0590019783099846,50.84,61.85,24.6877
41,300627.SZ,20220315,12085.2173,0.62,64.5097,-162.40999999999997,-0.0134387322932124,50.84,61.85,23.7597
