,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,600688.SH,20220609,3.39,14162.6875,1.14,18.3417,712.24,0.05028989024858453,27.61,-81.81
1,600688.SH,20220531,3.3600000000000003,9856.291000000001,1.14,18.1794,-646.74,-0.06561697498582376,27.61,-81.81
2,600688.SH,20220518,3.2,5750.830599999999,1.01,17.3137,-806.8000000000002,-0.14029277788151162,27.61,-81.81
3,600688.SH,20220506,3.06,4610.2493,1.04,16.5562,-427.71000000000004,-0.09277372483956561,27.61,-81.81
4,600688.SH,20220427,3.06,10559.5421,1.02,16.5562,-164.08999999999986,-0.01553949957735382,19.51,218.5
5,600688.SH,20220426,3.02,8699.5643,0.99,16.3398,-642.4200000000001,-0.07384507750577808,19.51,218.5
6,600688.SH,20220419,3.4400000000000004,7687.4254,1.09,18.6123,637.1500000000003,0.08288210510634683,19.51,218.5
7,600688.SH,20220413,3.41,6353.7608,1.09,18.4499,-393.14,-0.06187516533515079,19.51,218.5
8,600688.SH,20220412,3.43,10455.977,1.1,18.5581,-1217.19,-0.11641092936604584,19.51,218.5
9,600688.SH,20220407,3.5500000000000003,13322.208499999999,1.11,19.2074,987.5,0.0741243465751193,19.51,218.5
10,600688.SH,20220406,3.5700000000000003,9266.434,1.13,19.3156,293.34000000000003,0.03165619050435152,19.51,218.5
11,600688.SH,20220330,3.56,6160.4626,1.14,19.2615,239.78999999999994,0.038924024958775005,19.51,218.5
12,600688.SH,20220328,3.57,13652.7899,1.2,19.3156,-111.09999999999965,-0.008137530923258378,19.51,218.5
13,600688.SH,20220325,3.55,10437.983400000001,1.22,19.2074,-413.4400000000001,-0.03960918351335949,19.51,218.5
14,600688.SH,20220323,3.64,11456.975,1.24,62.7258,-575.6200000000001,-0.05024188321961077,12.57,405.98
15,600688.SH,20220322,3.63,8934.9289,1.29,62.5534,-522.4099999999999,-0.05846828842700694,12.57,405.98
16,600688.SH,20220311,3.73,16607.420000000002,1.26,64.2767,-1829.96,-0.11018930092693506,12.57,405.98
17,600688.SH,20220307,3.99,18758.9107,1.32,68.7571,-875.4200000000001,-0.04666688881886943,12.57,405.98
18,600688.SH,20220304,4.05,29221.174099999997,1.34,69.791,-1502.8999999999996,-0.05143188274560124,12.57,405.98
19,600688.SH,20220222,4.01,16479.7107,1.36,69.1017,1326.0800000000002,0.08046743199199487,12.57,405.98
20,600688.SH,20220214,4.03,16767.441,1.39,69.4464,57.90999999999974,0.003453717236875904,12.57,405.98
21,600688.SH,20220124,4.01,11608.6571,1.31,69.1017,-178.40999999999985,-0.01536870272445207,12.57,405.98
22,600688.SH,20220121,4.01,26347.9695,1.35,69.1017,-1821.4099999999994,-0.06912904616805479,12.57,405.98
23,600688.SH,20220119,4.26,17097.5662,1.47,73.4098,-123.17000000000007,-0.007203949296596381,12.57,405.98
24,600688.SH,20220118,4.29,46208.5246,1.5,73.9268,5758.089999999999,0.12461099006826977,12.57,405.98
