,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,002120.SZ,20220609,27529.3889,2.57,34.0053,-1424.5799999999997,-0.0517476070818266,38.66,52.01,17.3
1,002120.SZ,20220607,50548.3822,2.61,34.8112,-2690.17,-0.053219705219369,38.66,52.01,17.71
2,002120.SZ,20220606,34094.947700000004,2.53,33.966,-1449.8900000000006,-0.0425250688975246,38.66,52.01,17.28
3,002120.SZ,20220602,54080.9971,2.51,33.907,-4589.61,-0.0848654841092047,38.66,52.01,17.25
4,002120.SZ,20220531,60664.1934,2.38,35.6958,-1694.8999999999992,-0.027939051110832,38.66,52.01,18.16
5,002120.SZ,20220526,45154.3682,2.16,35.3813,5025.889999999999,0.1113046245656472,38.66,52.01,18.0
6,002120.SZ,20220525,46074.4384,2.15,34.654,540.3900000000003,0.0117286291220426,38.66,52.01,17.63
7,002120.SZ,20220523,63514.56189999999,2.25,33.6712,3471.2999999999997,0.0546536084979277,38.66,52.01,17.13
8,002120.SZ,20220520,49452.0561,2.29,32.2756,1021.68,0.020660010534931,38.66,52.01,16.42
9,002120.SZ,20220519,22611.588,2.31,30.5065,951.4,0.0420757710603961,38.66,52.01,15.52
10,002120.SZ,20220518,20160.4067,2.27,30.5655,786.57,0.0390155819624412,38.66,52.01,15.55
11,002120.SZ,20220517,16663.3454,2.28,31.45,784.8299999999998,0.0470991857373369,38.66,52.01,16.0
12,002120.SZ,20220512,20170.9152,2.37,31.2141,1739.91,0.0862583567849216,38.66,52.01,15.88
13,002120.SZ,20220510,31325.3545,2.36,30.5655,793.0,0.0253149569304953,38.66,52.01,15.55
14,002120.SZ,20220506,15796.1627,2.28,29.8972,1096.09,0.0693896372693097,38.66,52.01,15.21
15,002120.SZ,20220505,41738.787800000006,2.28,30.6244,1432.8400000000004,0.0343287401365307,38.66,52.01,15.58
16,002120.SZ,20220428,63061.368,2.05,27.6957,-4981.530000000001,-0.0789949561512842,38.66,52.01,14.09
17,002120.SZ,20220426,23817.9624,1.91,30.7329,-897.6800000000001,-0.0376892021628181,23.88,-23.41,14.87
18,002120.SZ,20220425,26807.4281,1.89,31.6836,-1507.7400000000002,-0.0562433663675479,23.88,-23.41,15.33
19,002120.SZ,20220422,16632.3243,1.96,34.7424,-390.6499999999999,-0.0234873967675101,23.88,-23.41,16.81
20,002120.SZ,20220420,12302.4698,1.99,34.8044,-226.70000000000005,-0.0184271941882759,23.88,-23.41,16.84
21,002120.SZ,20220419,14067.9157,1.97,35.1351,486.75,0.0346000083011586,23.88,-23.41,17.0
22,002120.SZ,20220414,26368.3103,1.94,37.1192,285.58,0.0108304247314625,23.88,-23.41,17.96
23,002120.SZ,20220413,45367.980200000005,1.94,36.4578,2894.1400000000003,0.0637925688391126,23.88,-23.41,17.64
24,002120.SZ,20220412,48812.907900000006,2.01,35.9618,-684.3799999999997,-0.0140204718268792,23.88,-23.41,17.4
25,002120.SZ,20220407,28867.2951,2.12,34.0397,798.6799999999998,0.0276672960605858,23.88,-23.41,16.47
26,002120.SZ,20220406,70173.98760000001,2.13,34.1637,-13020.57,-0.1855469589988071,23.88,-23.41,16.53
27,002120.SZ,20220330,23623.927,2.01,35.6518,-257.5700000000001,-0.0109029290515501,23.88,-23.41,17.25
28,002120.SZ,20220328,22266.1078,1.99,34.2464,-591.7700000000001,-0.026577164060977,23.88,-23.41,16.57
29,002120.SZ,20220325,22607.4867,1.98,35.5484,-1259.0,-0.05568951634062,23.88,-23.41,17.2
30,002120.SZ,20220324,21937.9519,1.97,36.7885,-1585.9900000000002,-0.0722943512333984,23.88,-23.41,17.8
31,002120.SZ,20220323,23328.8838,1.93,37.8426,1400.5899999999997,0.0600367343764642,23.88,-23.41,18.31
32,002120.SZ,20220321,27432.3533,1.94,37.3879,-2108.9,-0.0768763793954199,23.88,-23.41,18.09
33,002120.SZ,20220318,14461.3644,1.92,38.9379,217.32999999999996,0.01502831918128,23.88,-23.41,18.84
34,002120.SZ,20220317,32550.6127,1.93,38.7726,1488.3700000000006,0.0457247921480753,23.88,-23.41,18.76
35,002120.SZ,20220316,22913.0898,2.01,37.1812,-577.83,-0.0252183361145819,23.88,-23.41,17.99
36,002120.SZ,20220315,35280.1765,2.05,35.6311,-978.96,-0.0277481605002741,23.88,-23.41,17.24
37,002120.SZ,20220314,30201.4023,2.03,38.4419,-419.4099999999996,-0.0138871035137331,23.88,-23.41,18.6
38,002120.SZ,20220311,40431.8915,2.02,40.3434,-3020.86,-0.0747147830073693,23.88,-23.41,19.52
39,002120.SZ,20220310,57150.6531,2.06,40.612,-617.9400000000005,-0.0108124748621639,23.88,-23.41,19.65
40,002120.SZ,20220309,33501.3185,2.08,38.0906,-1531.8700000000003,-0.0457256630063679,23.88,-23.41,18.43
41,002120.SZ,20220308,50435.2511,2.08,37.5325,-9320.77,-0.1848066540110871,23.88,-23.41,18.16
42,002120.SZ,20220307,20741.6319,2.02,39.682,224.19000000000003,0.010808696301278,23.88,-23.41,19.2
43,002120.SZ,20220304,23091.2744,2.04,40.364,-1769.7200000000005,-0.0766402048385861,23.88,-23.41,19.53
44,002120.SZ,20220301,20766.0976,2.06,39.8887,-754.7999999999997,-0.0363477055024531,23.88,-23.41,19.3
45,002120.SZ,20220228,14485.3556,2.09,40.0747,-396.09,-0.0273441682025396,23.88,-23.41,19.39
46,002120.SZ,20220225,16260.636,2.07,40.5914,147.16999999999996,0.0090506914981677,23.88,-23.41,19.64
47,002120.SZ,20220223,25730.145,2.06,40.8807,2996.6,0.1164626161259487,23.88,-23.41,19.78
48,002120.SZ,20220222,12800.1611,2.09,38.3179,-1331.29,-0.1040057222404802,23.88,-23.41,18.54
49,002120.SZ,20220221,28930.0044,2.11,38.7519,1894.9,0.0654994715451892,23.88,-23.41,18.75
50,002120.SZ,20220218,14762.179800000002,2.15,38.2559,-2102.99,-0.1424579586816846,23.88,-23.41,18.51
51,002120.SZ,20220216,14151.603400000002,2.14,38.0492,-1808.05,-0.1277629077705781,23.88,-23.41,18.41
52,002120.SZ,20220215,16719.9693,2.13,38.5246,-658.1299999999999,-0.0393619143786346,23.88,-23.41,18.64
53,002120.SZ,20220214,35464.1704,2.14,37.9872,-7457.990000000002,-0.210296474325535,23.88,-23.41,18.38
54,002120.SZ,20220211,16074.493100000002,2.0,40.0953,514.1199999999999,0.0319835902010496,23.88,-23.41,19.4
55,002120.SZ,20220210,13403.9984,2.0,40.4674,-458.9599999999999,-0.0342405293035546,23.88,-23.41,19.58
56,002120.SZ,20220209,15843.2597,2.01,41.1907,707.53,0.0446581078261312,23.88,-23.41,19.93
57,002120.SZ,20220208,15628.8047,2.02,41.6454,-406.6200000000002,-0.0260173447557381,23.88,-23.41,20.15
58,002120.SZ,20220207,21635.284,2.01,42.0174,-595.49,-0.0275240204843162,23.88,-23.41,20.33
59,002120.SZ,20220128,15406.9562,2.03,40.488,-866.2699999999998,-0.0562259013886207,23.88,-23.41,19.59
60,002120.SZ,20220127,20216.9767,2.03,40.8807,-1843.0099999999995,-0.091161503885989,23.88,-23.41,19.78
61,002120.SZ,20220126,22659.1962,1.98,42.0381,-1482.17,-0.065411411195601,23.88,-23.41,20.34
62,002120.SZ,20220125,22908.9345,1.98,40.922,-1574.1800000000003,-0.0687146754904729,23.88,-23.41,19.8
63,002120.SZ,20220124,25682.0702,1.94,42.3068,-3345.92,-0.1302823321462613,23.88,-23.41,20.47
64,002120.SZ,20220120,23511.4455,1.93,43.3195,-2098.56,-0.0892569535973447,23.88,-23.41,20.96
65,002120.SZ,20220118,18972.4717,1.93,44.7249,-3087.26,-0.1627231311142237,23.88,-23.41,21.64
66,002120.SZ,20220113,23269.4962,2.07,43.8569,-1935.6,-0.0831818610666783,23.88,-23.41,21.22
67,002120.SZ,20220112,45967.9236,2.09,44.8076,-4701.429999999999,-0.1022763186110063,23.88,-23.41,21.68
68,002120.SZ,20220111,73389.8716,2.01,44.8076,-4725.429999999999,-0.0643880401611167,23.88,-23.41,21.68
69,002120.SZ,20220110,30098.7953,2.06,44.2909,-2330.99,-0.0774446278253535,23.88,-23.41,21.43
70,002120.SZ,20220106,53956.4797,2.19,45.655,-4932.0,-0.0914070011131582,23.88,-23.41,22.09
71,002120.SZ,20220105,44726.5987,2.2,43.9189,-3516.310000000001,-0.0786178717408261,23.88,-23.41,21.25
72,002120.SZ,20220104,38342.0073,2.23,43.9809,-3916.73,-0.1021524504273932,23.88,-23.41,21.28
73,002120.SZ,20211231,13529.829000000002,2.27,42.2861,-1400.77,-0.1035319810767748,23.88,-23.41,20.46
74,002120.SZ,20211230,39586.1688,2.29,42.3688,-4441.650000000001,-0.1122020679101434,23.88,-23.41,20.5
75,002120.SZ,20211229,42891.8083,2.25,43.5468,-1160.63,-0.0270594793271982,23.88,-23.41,21.07
76,002120.SZ,20211224,21113.8767,2.29,43.7949,1795.0600000000002,0.0850180203998254,23.88,-23.41,21.19
77,002120.SZ,20211222,48045.5973,2.28,43.5262,-6128.740000000002,-0.1275609076463703,23.88,-23.41,21.06
78,002120.SZ,20211221,21771.4349,2.25,41.2321,-3917.39,-0.1799325592453255,23.88,-23.41,19.95
