,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,601633.SH,20220608,37.39,318363.4937,0.75,51.4675,46651.35999999999,0.1465348914783567,8.04,-0.34
1,601633.SH,20220607,35.09,204591.4414,0.76,48.3015,-20459.679999999997,-0.10000261917114582,8.04,-0.34
2,601633.SH,20220530,34.02,233947.0648,0.78,46.7935,-21056.260000000002,-0.09000437777666019,8.04,-0.34
3,601633.SH,20220524,34.37,406242.67319999996,0.73,47.275,-887.4600000000064,-0.0021845563219871173,8.04,-0.34
4,601633.SH,20220517,31.9,263315.9103,0.64,43.8775,34563.81,0.13126365953588182,8.04,-0.34
5,601633.SH,20220512,26.88,277706.317,0.89,36.9092,-1693.3400000000074,-0.006097592659370466,8.04,-0.34
6,601633.SH,20220510,23.05,57488.96459999999,1.07,31.6502,-2447.0200000000004,-0.04256503864743462,8.04,-0.34
7,601633.SH,20220427,22.82,75796.29250000001,1.18,31.3343,1141.52,0.015060367233661196,8.04,-0.34
8,601633.SH,20220419,25.41,94802.4188,1.07,34.8907,-5336.6500000000015,-0.05629234008531438,32.04,25.43
9,601633.SH,20220414,25.81,67455.3827,1.14,35.4407,6053.059999999999,0.08973427705421644,32.04,25.43
10,601633.SH,20220412,25.09,62087.019700000004,1.12,34.452,1392.3700000000008,0.022426104630691442,32.04,25.43
11,601633.SH,20220406,26.71,106591.782,1.2,36.6765,-4397.379999999999,-0.0412543998936053,32.04,25.43
12,601633.SH,20220330,28.54,117949.2445,1.24,39.1894,7543.789999999999,0.06395793404170554,32.04,25.43
13,601633.SH,20220328,27.3,66539.4059,1.13,47.019,-4262.9800000000005,-0.06406699822969114,46.11,91.13
14,601633.SH,20220325,27.65,90141.0908,1.11,47.6218,-5806.24,-0.06441279940668301,46.11,91.13
15,601633.SH,20220324,28.6,75729.8375,1.17,49.258,-7164.99,-0.0946125098974364,46.11,91.13
16,601633.SH,20220318,28.47,91136.7755,1.23,49.0341,-8531.029999999999,-0.09360688869226011,46.11,91.13
17,601633.SH,20220308,30.39,106875.13799999999,1.22,52.3409,-11395.44,-0.10662386232427602,46.11,91.13
18,601633.SH,20220307,31.92,85649.6188,1.22,54.976,-4578.78,-0.05345943232615998,46.11,91.13
19,601633.SH,20220301,36.8,85970.0047,1.21,63.3809,-4019.489999999999,-0.046754562990037836,46.11,91.13
20,601633.SH,20220225,37.0,94632.906,1.14,63.7254,5351.080000000001,0.056545658652815765,46.11,91.13
21,601633.SH,20220223,38.47,111993.29169999999,1.13,66.2571,16128.83,0.14401603663195126,46.11,91.13
22,601633.SH,20220218,38.25,58010.5843,1.11,65.8782,-4023.8700000000013,-0.06936441079770336,46.11,91.13
23,601633.SH,20220217,38.88,75157.8082,1.1,66.9633,-4060.58,-0.054027387137135806,46.11,91.13
24,601633.SH,20220214,38.1,68504.4669,1.01,65.6199,-4420.199999999999,-0.06452425951219247,46.11,91.13
25,601633.SH,20220211,38.71,79384.811,1.0,66.6705,-2912.7600000000007,-0.03669165377240743,46.11,91.13
26,601633.SH,20220210,40.3,65719.44320000001,1.0,69.4089,-3352.3900000000003,-0.051010626943351824,46.11,91.13
27,601633.SH,20220126,42.65,93068.2906,1.1,73.4553,-4032.5300000000016,-0.04332872102842729,46.11,91.13
28,601633.SH,20220125,42.93,101951.2646,1.09,73.9375,2017.3399999999992,0.01978729746918705,46.11,91.13
29,601633.SH,20220124,43.260000000000005,159536.461,1.06,74.5059,-14755.760000000002,-0.09249145873932857,46.11,91.13
30,601633.SH,20220119,44.37,106777.269,0.99,76.4176,-8004.640000000001,-0.07496576822919118,46.11,91.13
31,601633.SH,20220118,45.84,90761.0725,1.01,78.9493,7461.890000000001,0.08221465210208927,46.11,91.13
32,601633.SH,20220117,45.51,103470.8377,0.98,78.381,-3076.2000000000007,-0.029730115928113345,46.11,91.13
33,601633.SH,20220113,44.99,160482.9695,0.95,77.4854,-4459.700000000001,-0.02778924152447217,46.11,91.13
34,601633.SH,20220112,47.05,218325.54360000003,1.0,81.0333,18261.319999999992,0.08364261780315105,46.11,91.13
35,601633.SH,20220110,46.9,168720.2291,1.02,80.775,12967.000000000002,0.07685504025906993,46.11,91.13
36,601633.SH,20220104,47.78,115739.87460000001,0.95,82.2884,-726.0499999999965,-0.006273118944609574,46.11,91.13
37,601633.SH,20211231,48.54,96917.93669999999,0.98,83.5973,-9467.109999999999,-0.09768171220260821,46.11,91.13
