,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,601126.SH,20220609,13.73,40363.2524,0.06,24.7072,-4573.300000000001,-0.11330355529030663,32.56,38.31
1,601126.SH,20220606,14.99,43973.7789,0.06,26.9746,-4184.97,-0.0951696693958681,32.56,38.31
2,601126.SH,20220526,14.23,82129.6729,0.06,25.6069,-6869.910000000002,-0.0836471126381413,32.56,38.31
3,601126.SH,20220517,12.67,35156.5708,0.06,22.7997,228.19000000000005,0.006490678550480244,32.56,38.31
4,601126.SH,20220512,12.33,51622.687900000004,0.06,22.1879,-1750.2700000000016,-0.03390505359563041,32.56,38.31
5,601126.SH,20220427,9.94,29350.869599999998,0.06,17.8871,4666.450000000001,0.15898847508082012,11.26,31.38
6,601126.SH,20220426,9.04,18440.9109,0.06,16.2675,-1201.67,-0.06516326696204579,11.26,31.38
7,601126.SH,20220422,10.97,13770.4981,0.06,19.7405,865.9899999999998,0.06288734029163402,11.26,31.38
8,601126.SH,20220419,11.82,38982.7756,0.06,21.2701,191.55999999999972,0.004913965130794835,11.26,31.38
9,601126.SH,20220414,10.76,10536.9156,0.06,19.3627,-775.6700000000001,-0.07361452150190897,11.26,31.38
10,601126.SH,20220412,11.05,24161.9476,0.06,19.8845,-1473.2799999999997,-0.06097521708059659,11.26,31.38
11,601126.SH,20220328,13.0,14637.645800000002,0.06,30.7347,-1583.6999999999998,-0.10819362769387408,13.8,57.85
12,601126.SH,20220324,13.57,23417.246900000002,0.06,32.0823,-2584.8999999999996,-0.11038445343461786,13.8,57.85
13,601126.SH,20220318,13.57,12803.9246,0.06,32.0823,254.86,0.019904834491137193,13.8,57.85
14,601126.SH,20220317,13.58,25428.39,0.07,32.1059,-227.01999999999998,-0.008927816507454856,13.8,57.85
15,601126.SH,20220310,14.61,19209.6077,0.07,34.541,-260.0599999999997,-0.013538017228743288,13.8,57.85
16,601126.SH,20220303,16.08,28052.195,0.07,38.0164,-3579.7799999999997,-0.1276114043838637,13.8,57.85
17,601126.SH,20220301,16.76,48277.166600000004,0.07,39.6241,2092.57,0.04334492157209574,13.8,57.85
18,601126.SH,20220222,16.18,20815.1843,0.07,38.2529,-1294.9899999999998,-0.06221371770414734,13.8,57.85
19,601126.SH,20220218,16.17,23286.0069,0.07,38.2292,-2584.04,-0.11096964847158917,13.8,57.85
20,601126.SH,20220214,15.2,33579.823,0.07,35.9359,-1934.9299999999996,-0.05762180461761218,13.8,57.85
21,601126.SH,20220210,16.790000000000003,18389.7849,0.07,39.695,1185.1900000000003,0.0644482796533417,13.8,57.85
22,601126.SH,20220209,16.84,25056.4562,0.07,39.8132,256.30999999999995,0.010229299704401134,13.8,57.85
23,601126.SH,20220208,16.540000000000003,25772.7797,0.07,39.104,-1619.2999999999995,-0.06282985455387258,13.8,57.85
24,601126.SH,20220124,17.3,23256.2719,0.07,40.9008,-1282.8600000000001,-0.05516189376853648,13.8,57.85
25,601126.SH,20220119,18.07,44553.4516,0.07,42.7212,-2871.99,-0.06446167237018287,13.8,57.85
26,601126.SH,20220114,18.05,31625.529100000003,0.07,42.6739,867.48,0.02742973871700379,13.8,57.85
27,601126.SH,20220111,17.37,31217.8137,0.07,41.0663,-1531.3100000000002,-0.04905244213178196,13.8,57.85
28,601126.SH,20220110,17.650000000000002,39106.842300000004,0.07,41.7282,-2914.92,-0.07453733997848248,13.8,57.85
29,601126.SH,20220107,18.040000000000003,39547.7693,0.07,42.6503,-3190.909999999999,-0.08068495534588847,13.8,57.85
30,601126.SH,20220105,18.75,55925.8014,0.07,44.3289,-5324.13,-0.09519988747090176,13.8,57.85
31,601126.SH,20220104,19.65,74164.3244,0.07,46.4566,-7263.730000000001,-0.0979410256719065,13.8,57.85
32,601126.SH,20211231,20.9,45875.9613,0.07,49.4119,1922.9199999999992,0.04191563392917935,13.8,57.85
33,601126.SH,20211229,21.2,52687.2689,0.07,50.1212,-3811.1800000000003,-0.0723358807463258,13.8,57.85
34,601126.SH,20211221,23.06,64583.2819,0.07,54.5186,2725.429999999999,0.04220024005933955,13.8,57.85
35,601126.SH,20211220,22.55,104640.82389999999,0.07,53.3128,-7309.0199999999995,-0.069848647283061,13.8,57.85
36,601126.SH,20211206,24.74,70549.6041,0.07,58.4905,503.16000000000076,0.007132003168817226,13.8,57.85
37,601126.SH,20211202,24.0,74232.2813,0.07,56.7409,-956.4799999999984,-0.012884960333288294,13.8,57.85
38,601126.SH,20211201,25.28,94840.8365,0.07,59.7671,-1215.2400000000016,-0.012813467751309865,13.8,57.85
39,601126.SH,20211130,24.44,72780.3647,0.07,57.7812,883.340000000002,0.012137064765216846,13.8,57.85
40,601126.SH,20211126,23.8,112944.12379999999,0.07,56.2681,-1980.199999999999,-0.01753256330100459,13.8,57.85
41,601126.SH,20211122,21.35,84286.5906,0.07,50.4758,5448.709999999999,0.06464503975321549,13.8,57.85
42,601126.SH,20211118,21.13,101587.18340000001,0.07,49.9557,-6516.720000000002,-0.06414903713139075,13.8,57.85
