,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
42,603357.SH,20211207,8.83,1675.3426,4.07,11.0495,-60.67999999999999,-0.03621945744112279,34.52,8.73
43,603357.SH,20211206,8.85,1551.0665999999999,4.0,11.0746,-26.50999999999999,-0.017091464673406026,34.52,8.73
44,603357.SH,20211202,8.87,1132.0285,3.96,11.0996,24.759999999999998,0.021872240849059896,34.52,8.73
45,603357.SH,20211201,8.889999999999999,1444.3901,3.89,11.1246,-133.46999999999997,-0.09240578428223785,34.52,8.73
46,603357.SH,20211126,8.799999999999999,1489.5776,3.7,11.012,-8.920000000000002,-0.00598827479682831,34.52,8.73
47,603357.SH,20211125,8.73,925.0184999999999,3.67,10.9244,10.399999999999999,0.011243018382875586,34.52,8.73
48,603357.SH,20211124,8.76,1427.3363,3.65,10.9619,-36.25,-0.025396957955879075,34.52,8.73
49,603357.SH,20211123,8.73,1457.4159,3.63,10.9244,-39.46,-0.027075318719934374,34.52,8.73
50,603357.SH,20211117,8.610000000000001,1469.7673,3.51,10.7742,-102.91000000000001,-0.07001788650489095,34.52,8.73
51,603357.SH,20211116,8.61,1944.7662,3.49,10.7742,140.66999999999996,0.0723326022428814,34.52,8.73
52,603357.SH,20211112,8.48,1548.1044,3.5,10.6115,-22.769999999999996,-0.014708310369765758,34.52,8.73
53,603357.SH,20211111,8.45,1750.5681,3.49,10.574,95.21,0.0543880583680235,34.52,8.73
54,603357.SH,20211028,8.39,1342.3001,4.28,10.4989,27.33,0.02036057361539346,42.32,7.11
55,603357.SH,20211027,8.36,1745.9442,4.28,10.4614,16.279999999999994,0.00932446752880189,42.32,7.11
56,603357.SH,20211026,8.540000000000001,931.4545,4.35,10.6866,-29.520000000000003,-0.03169236929984234,42.32,7.11
57,603357.SH,20211025,8.58,1392.9425999999999,4.37,10.7367,-109.63,-0.07870388916241057,42.32,7.11
58,603357.SH,20211021,8.82,1097.0944,4.39,11.037,-36.089999999999996,-0.03289598415596689,42.32,7.11
59,603357.SH,20211012,8.74,1619.2301,4.41,10.9369,-91.80999999999999,-0.05669978590442457,42.32,7.11
60,603357.SH,20211011,8.88,1662.9784,4.4,11.1121,290.21999999999997,0.174518201799855,42.32,7.11
61,603357.SH,20210930,8.719999999999999,1742.8275,4.43,10.9119,24.46,0.014034664933850308,42.32,7.11
62,603357.SH,20210929,8.74,2360.0874,4.4,10.9369,39.34,0.016668874212031302,42.32,7.11
63,603357.SH,20210928,8.91,1905.4526,4.39,11.1496,11.909999999999997,0.00625048348093256,42.32,7.11
64,603357.SH,20210913,9.44,2050.9523,4.3,11.8129,-74.98,-0.03655862693637488,42.32,7.11
65,603357.SH,20210831,8.92,1950.9075,3.82,11.1621,-49.31,-0.025275416697101222,42.32,7.11
66,603357.SH,20210826,8.899999999999999,2606.8557,3.52,11.1371,-202.0,-0.07748798677272394,42.32,7.11
67,603357.SH,20210820,8.7,1623.9308,3.05,10.8868,29.44,0.01812885130326982,29.57,2.91
68,603357.SH,20210817,8.459999999999999,2383.2068,2.96,10.5865,-109.49999999999999,-0.045946495285260174,29.57,2.91
69,603357.SH,20210813,8.35,1151.6657,2.82,10.4489,-41.86999999999999,-0.03635603630463249,29.57,2.91
70,603357.SH,20210809,8.37,2144.9972000000002,2.68,10.4739,-84.99,-0.039622429343963705,29.57,2.91
71,603357.SH,20210803,8.3,1203.4043,2.8,10.3863,25.27,0.020998761596580633,29.57,2.91
72,603357.SH,20210729,8.2,1347.7549000000001,2.84,10.2612,-40.04,-0.02970866587092356,29.57,2.91
73,603357.SH,20210726,8.5,1699.5616999999997,2.85,10.6366,17.0,0.010002578900195269,29.57,2.91
74,603357.SH,20210723,8.65,1729.2199,2.84,10.8243,-46.43,-0.026850257737607575,29.57,2.91
75,603357.SH,20210714,8.59,970.6184999999999,2.82,10.7492,-88.66,-0.09134381840032928,29.57,2.91
76,603357.SH,20210713,8.65,1479.8953,2.79,10.8243,-55.42999999999999,-0.03745535241580941,29.57,2.91
77,603357.SH,20210708,8.52,1126.1209999999999,2.63,10.6616,-153.69,-0.13647734124485736,29.57,2.91
78,603357.SH,20210702,8.55,1018.8308000000001,2.69,10.6991,13.829999999999998,0.013574383499203202,29.57,2.91
79,603357.SH,20210630,8.66,810.5813,2.67,10.8368,38.849999999999994,0.047928566819885915,29.57,2.91
80,603357.SH,20210628,8.709999999999999,1203.0689,2.61,10.8994,-52.25,-0.043430596535244156,29.57,2.91
81,603357.SH,20210624,8.77,2753.3901,2.54,10.9744,-46.76999999999998,-0.01698633259413549,29.57,2.91
82,603357.SH,20210623,8.57,1138.2644,2.46,10.7242,-88.91,-0.07811014734362244,29.57,2.91
83,603357.SH,20210621,8.53,1503.2265,2.48,10.6741,-249.2,-0.16577674754935467,29.57,2.91
84,603357.SH,20210609,8.74,930.5015999999999,2.46,10.9369,24.410000000000004,0.02623316284464208,29.57,2.91
85,603357.SH,20210531,8.69,964.0919,2.22,10.8743,29.320000000000004,0.03041203852039417,29.57,2.91
86,603357.SH,20210525,8.94,1778.2549999999999,2.17,11.1872,330.22999999999996,0.18570452494158599,29.57,2.91
87,603357.SH,20210521,8.799999999999999,1003.9504000000001,2.22,11.012,-86.02,-0.08568152370874098,29.57,2.91
88,603357.SH,20210514,8.96,1591.1129999999998,2.29,11.2122,38.8,0.024385445911132647,29.57,2.91
89,603357.SH,20210507,8.969999999999999,1155.5054,2.3,11.2247,100.87,0.08729513509845994,29.57,2.91
90,603357.SH,20210506,8.93,1015.3435,2.26,11.1747,-99.40999999999998,-0.0979077524010347,29.57,2.91
91,603357.SH,20210430,8.94,1646.5455000000002,2.24,11.1872,-134.37999999999997,-0.08161329279998637,29.57,2.91
92,603357.SH,20210428,9.1,1391.0334,2.28,11.3874,95.94000000000001,0.06897030653613351,29.57,2.91
93,603357.SH,20210426,9.12,1977.3132,2.21,11.4124,-184.48,-0.09329832016495919,29.57,2.91
