,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,603816.SH,20220609,60.98,21363.3197,6.11,23.1626,-698.2599999999998,-0.03268499511337649,20.05,15.11
1,603816.SH,20220607,64.66,14046.9849,6.13,24.5604,-1058.3400000000001,-0.07534285880808488,20.05,15.11
2,603816.SH,20220531,63.95,14496.863500000001,6.12,24.2907,-224.6300000000001,-0.015495075883138452,20.05,15.11
3,603816.SH,20220530,61.31,23445.1714,6.16,23.288,1445.56,0.06165704551001917,20.05,15.11
4,603816.SH,20220517,64.62,20714.9464,6.19,24.5452,-1633.89,-0.07887493254628938,20.05,15.11
5,603816.SH,20220516,63.56,26479.6846,6.21,24.1426,-1361.7500000000005,-0.05142621676090509,20.05,15.11
6,603816.SH,20220512,59.31,16486.7807,6.22,22.5283,-278.96000000000004,-0.016920222636308862,20.05,15.11
7,603816.SH,20220429,58.2,27320.985600000004,6.28,22.1067,-160.50999999999976,-0.005874971069857734,20.05,15.11
8,603816.SH,20220425,55.9,39251.9937,6.34,21.233,2692.399999999999,0.06859269418460136,20.05,15.11
9,603816.SH,20220420,60.0,21231.841800000002,6.34,44.8669,2828.15,0.13320323439862858,54.78,22.58
10,603816.SH,20220401,62.17,21680.7911,6.53,46.4895,3449.94,0.1591242673797083,54.78,22.58
11,603816.SH,20220330,60.38,24243.4705,6.72,45.151,1752.3600000000001,0.07228173045604176,54.78,22.58
12,603816.SH,20220325,60.23,19184.764499999997,6.74,45.0389,-954.3399999999999,-0.049744681515376435,54.78,22.58
13,603816.SH,20220322,63.15,18875.6177,6.71,47.2224,-515.4299999999997,-0.027306656035950536,54.78,22.58
14,603816.SH,20220318,63.3,16468.5362,6.61,47.3345,2737.0899999999997,0.16620117093345552,54.78,22.58
15,603816.SH,20220314,63.36000000000001,11629.4482,6.67,47.3794,-201.0300000000001,-0.01728628878539569,54.78,22.58
16,603816.SH,20220310,65.00999999999999,18798.4003,6.68,48.6132,-1352.08,-0.07192526908792339,54.78,22.58
17,603816.SH,20220301,69.29,14407.2424,6.56,51.8137,396.94999999999993,0.027552115039030645,54.78,22.58
18,603816.SH,20220228,70.39999999999999,9274.4515,6.55,52.6438,218.53000000000014,0.02356257941507378,54.78,22.58
19,603816.SH,20220225,70.84,31167.2692,6.57,52.9728,-3634.6600000000003,-0.11661785242320814,54.78,22.58
