,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,601919.SH,20220608,15.72,195089.2258,2.97,2.8193,-10923.66,-0.05599314854628943,62.75,78.73
1,601919.SH,20220602,15.29,120482.60759999999,3.0,2.7421,-5986.989999999998,-0.0496917365855551,62.75,78.73
2,601919.SH,20220601,15.39,159241.6553,2.95,2.76,-7123.290000000001,-0.04473257946597092,62.75,78.73
3,601919.SH,20220524,14.95,302888.4242,2.9,2.6811,-3909.780000000006,-0.012908317676143154,62.75,78.73
4,601919.SH,20220518,14.18,107693.8599,2.37,2.543,2525.6899999999987,0.023452497685060678,62.75,78.73
5,601919.SH,20220517,14.26,94291.23569999999,2.42,2.5574,677.5300000000007,0.007185503456075724,62.75,78.73
6,601919.SH,20220506,14.54,166085.685,2.45,2.6076,-21769.700000000004,-0.1310751134271446,62.75,78.73
7,601919.SH,20220427,13.93,211889.22280000002,2.25,2.4982,1272.5099999999948,0.006005543760954296,94.85,799.52
8,601919.SH,20220422,14.77,144554.68230000001,2.02,2.6488,-1771.9900000000016,-0.012258267748965206,94.85,799.52
9,601919.SH,20220421,14.64,132689.67369999998,1.96,2.6255,-13177.210000000001,-0.09930848145570503,94.85,799.52
10,601919.SH,20220414,15.47,148226.2729,1.96,2.7744,8406.59,0.05671457451859062,94.85,799.52
11,601919.SH,20220408,15.58,216461.982,1.99,2.7941,-28551.269999999997,-0.13189969774923338,94.85,799.52
12,601919.SH,20220331,15.5,308289.4493,2.01,2.7797,-47415.240000000005,-0.1538010467359838,94.85,799.52
13,601919.SH,20220330,16.09,202036.7395,2.08,25.956,-26222.68,-0.12979164118811173,96.65,1650.97
14,601919.SH,20220328,15.73,225433.25329999998,2.04,25.3753,-20502.31000000001,-0.0909462543785239,96.65,1650.97
15,601919.SH,20220325,15.77,233402.8091,2.07,25.4398,-44120.96,-0.18903354321282673,96.65,1650.97
16,601919.SH,20220324,16.38,151667.08419999998,2.2,26.4238,9268.170000000002,0.061108644956728214,96.65,1650.97
17,601919.SH,20220321,16.27,238251.37459999998,2.2,26.2464,-10947.82,-0.04595071074985521,96.65,1650.97
18,601919.SH,20220311,16.939999999999998,256290.5443,2.19,27.3272,4818.0,0.01879897681422186,96.65,1650.97
19,601919.SH,20220308,16.830000000000002,261807.58709999998,2.42,27.1498,-34639.67000000001,-0.13230964917288301,96.65,1650.97
20,601919.SH,20220307,17.63,261791.1488,2.47,28.4403,-43012.06,-0.1642991376796311,96.65,1650.97
21,601919.SH,20220304,18.24,291707.3467,2.43,29.4243,-13867.220000000001,-0.04753812393440141,96.65,1650.97
22,601919.SH,20220303,18.47,411567.1216,2.38,29.7954,49067.310000000005,0.11922067489076126,96.65,1650.97
23,601919.SH,20220302,17.8,265936.2965,2.39,28.7145,-14621.330000000009,-0.0549805731388758,96.65,1650.97
24,601919.SH,20220301,17.810000000000002,391538.8201,2.32,28.7306,5092.419999999998,0.0130061688358242,96.65,1650.97
25,601919.SH,20220224,16.16,293962.1851,2.08,26.0689,-4526.939999999995,-0.015399735848541271,96.65,1650.97
26,601919.SH,20220218,16.89,161987.7783,2.2,27.2465,17480.06,0.10790974592927052,96.65,1650.97
27,601919.SH,20220217,16.689999999999998,175297.6315,2.17,26.9239,-2349.519999999997,-0.013403033343322707,96.65,1650.97
28,601919.SH,20220127,16.47,221657.4795,2.03,26.569,-1412.170000000002,-0.006370955779094303,96.65,1650.97
29,601919.SH,20220126,16.689999999999998,204517.8671,2.09,26.9239,-706.239999999998,-0.0034531946280012714,96.65,1650.97
30,601919.SH,20220125,16.33,302806.769,2.03,26.3431,-27420.289999999994,-0.09055375509125424,96.65,1650.97
31,601919.SH,20220119,17.65,183842.8368,2.26,28.4725,-10594.560000000001,-0.05762835356770344,96.65,1650.97
32,601919.SH,20220118,18.13,343921.67459999997,2.33,29.2468,19613.180000000008,0.05702804286124515,96.65,1650.97
33,601919.SH,20211210,19.39,706288.5071,2.15,31.2794,67429.31,0.09546992386562082,96.65,1650.97
34,601919.SH,20211208,18.82,569416.8835,2.13,30.3599,28992.989999999976,0.05091698339148382,96.65,1650.97
35,601919.SH,20211202,17.53,554357.7646999999,2.06,28.2784,7589.079999999987,0.013689859659685557,96.65,1650.97
36,601919.SH,20211201,17.09,551436.5161,2.07,27.5686,-22105.539999999994,-0.04008718928579491,96.65,1650.97
37,601919.SH,20211119,15.19,202605.0239,2.29,24.5036,754.0200000000004,0.0037216253846309505,96.65,1650.97
38,601919.SH,20211118,15.07,188107.8634,2.16,24.31,-7884.189999999999,-0.04191313354739852,96.65,1650.97
39,601919.SH,20211117,15.18,226036.06519999998,2.18,24.4875,-16824.870000000006,-0.07443444914471112,96.65,1650.97
40,601919.SH,20211116,15.31,366784.12450000003,2.2,24.6972,43886.77999999999,0.11965288862986213,96.65,1650.97
41,601919.SH,20211111,15.36,191072.048,2.07,24.7779,-15514.409999999996,-0.08119664892062074,96.65,1650.97
42,601919.SH,20211109,15.62,154081.7273,2.0,25.1973,-15542.279999999995,-0.10087036452894174,96.65,1650.97
43,601919.SH,20211104,16.24,345953.4584,1.97,26.1972,-17953.989999999998,-0.051897125361993486,96.65,1650.97
44,601919.SH,20211102,16.099999999999998,353441.5097,1.98,25.9714,34.89000000001397,9.871506046255996e-05,96.65,1650.97
45,601919.SH,20211026,16.26,275306.7546,1.9,26.2295,-5384.409999999996,-0.01955785650019063,88.06,3162.31
46,601919.SH,20211021,16.099999999999998,259522.7547,1.84,25.9714,-14666.700000000004,-0.05651411960756289,88.06,3162.31
47,601919.SH,20211019,16.939999999999998,549449.8,2.27,27.3264,40228.21999999999,0.07321546026588777,88.06,3162.31
48,601919.SH,20211018,15.85,512187.25140000007,2.46,25.5681,31111.579999999987,0.060742589580198174,88.06,3162.31
49,601919.SH,20211015,15.05,663845.1269,2.4,24.2776,-123124.05000000003,-0.18547104589734698,88.06,3162.31
50,601919.SH,20211013,16.82,262208.8788,2.44,27.1329,-4507.55000000001,-0.017190684086018867,88.06,3162.31
51,601919.SH,20210930,17.28,393711.0784,2.88,27.8736,-20514.440000000017,-0.052105315612068936,88.06,3162.31
52,601919.SH,20210929,16.54,681470.7975,2.88,26.6799,-144241.54000000004,-0.21166209987156498,88.06,3162.31
53,601919.SH,20210924,21.49,656266.1658,3.06,34.6645,49260.43000000002,0.07506166334196232,88.06,3162.31
54,601919.SH,20210923,20.87,512530.8301,3.0,33.6644,-41345.71999999997,-0.08066972281829952,88.06,3162.31
55,601919.SH,20210910,22.42,1238055.4321,3.49,36.1647,158700.0300000001,0.12818491473423912,88.06,3162.31
56,601919.SH,20210909,20.82,463043.92000000004,3.1,33.5838,-23451.740000000005,-0.05064690191807292,88.06,3162.31
57,601919.SH,20210831,20.74,855897.4142000001,3.23,33.4547,-176655.41000000003,-0.2063978779105418,88.06,3162.31
58,601919.SH,20210827,21.74,598706.7633,3.33,35.0677,-20523.99000000002,-0.03428053808324169,79.58,5200.62
59,601919.SH,20210826,21.47,613157.6932,3.31,34.6322,-38070.54999999996,-0.062089329420811974,79.58,5200.62
60,601919.SH,20210820,20.0,584608.0371000001,3.17,32.261,-101178.69999999998,-0.17307100412424345,79.58,5200.62
61,601919.SH,20210817,20.6,474658.71349999995,3.23,33.2289,-23632.459999999992,-0.049788320171646853,79.58,5200.62
62,601919.SH,20210813,21.66,786114.8063,3.33,34.9387,-72012.23999999999,-0.09160524572605291,79.58,5200.62
63,601919.SH,20210729,18.17,521530.7872,3.48,29.3053,-36768.7,-0.07050149464311432,79.58,5200.62
