,Code,Date,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy,Close
0,002596.SZ,20220609,14050.1335,0.16,,-1069.6100000000004,-0.076128102270345,-16.0,65.14,3.3
1,002596.SZ,20220608,16855.1962,0.16,,589.5299999999997,0.0349761576789002,-16.0,65.14,3.38
2,002596.SZ,20220607,18309.3359,0.16,,-551.2300000000002,-0.0301064988381146,-16.0,65.14,3.35
3,002596.SZ,20220602,31089.0162,0.16,,-4183.160000000001,-0.1345542738660222,-16.0,65.14,3.44
4,002596.SZ,20220601,34391.9259,0.16,,2140.77,0.0622462960121695,-16.0,65.14,3.6
5,002596.SZ,20220530,27320.6901,0.16,,-1763.7300000000005,-0.0645565684301657,-16.0,65.14,3.56
6,002596.SZ,20220527,41132.3151,0.16,,-150.13999999999896,-0.0036501713952881,-16.0,65.14,3.66
7,002596.SZ,20220526,29321.308,0.16,,-3507.0499999999997,-0.1196075563886849,-16.0,65.14,3.61
8,002596.SZ,20220525,40353.441600000006,0.16,,2460.2300000000005,0.0609670427713902,-16.0,65.14,3.68
9,002596.SZ,20220523,39667.3472,0.16,,1347.0199999999995,0.0339579048028701,-16.0,65.14,3.6
10,002596.SZ,20220520,45496.7831,0.16,,-2395.6899999999982,-0.0526562503272895,-16.0,65.14,3.45
11,002596.SZ,20220519,58068.1696,0.16,,5919.030000000001,0.1019324363205001,-16.0,65.14,3.58
12,002596.SZ,20220518,8512.803,0.16,,-1168.3199999999997,-0.1372426919781885,-16.0,65.14,3.51
13,002596.SZ,20220517,41023.8718,0.16,,-4540.500000000001,-0.1106794605379007,-16.0,65.14,3.9
14,002596.SZ,20220513,46871.5652,0.16,,981.1999999999998,0.0209338006062575,-16.0,65.14,3.92
15,002596.SZ,20220511,105174.6299,0.16,,-14200.54,-0.1350186828658381,-16.0,65.14,3.9
16,002596.SZ,20220510,77870.76430000001,0.16,,7142.9400000000005,0.0917281352534509,-16.0,65.14,3.98
17,002596.SZ,20220506,37256.9456,0.16,,-2780.49,-0.0746301113851909,-16.0,65.14,3.46
18,002596.SZ,20220505,56895.9856,0.16,,1399.209999999999,0.0245924204536496,-16.0,65.14,3.66
19,002596.SZ,20220429,61065.1792,0.16,,-3510.6499999999987,-0.0574902103947317,-16.0,65.14,3.59
20,002596.SZ,20220428,68829.969,0.16,,-7475.610000000001,-0.1086098121008888,-4.32,-2852.91,3.47
21,002596.SZ,20220427,79822.0718,0.16,,7900.740000000002,0.0989793903094357,-4.32,-2852.91,3.61
