,Code,Date,Close,Amount,North,PE,MainForce,MainForceRatio,rev_yoy,profit_yoy
0,603678.SH,20220609,39.17,31307.6663,0.27,18.8447,-1786.9900000000005,-0.05707835208400699,-26.92,-24.89
1,603678.SH,20220602,40.96,30738.185999999998,0.34,19.7059,-3064.67,-0.09970237020493013,-26.92,-24.89
2,603678.SH,20220601,39.38,28847.064000000002,0.33,18.9458,-2112.06,-0.07321576989602824,-26.92,-24.89
3,603678.SH,20220531,38.96,24414.4588,0.33,18.7437,-2811.9,-0.1151735544512664,-26.92,-24.89
4,603678.SH,20220429,38.010000000000005,36223.547999999995,0.35,18.2866,-529.0400000000002,-0.01460486421705572,-26.92,-24.89
5,603678.SH,20220428,36.23,32548.5662,0.37,17.4302,-2425.8600000000006,-0.07453047194441396,-26.92,-24.89
6,603678.SH,20220425,34.61,28872.734000000004,0.33,16.6508,-3536.66,-0.12249134425579508,29.48,56.83
7,603678.SH,20220419,41.43,17945.3308,0.33,19.9319,-40.210000000000264,-0.0022406942757500054,29.48,56.83
8,603678.SH,20220414,41.89,22869.3572,0.32,20.1533,105.88999999999976,0.004630213218235962,29.48,56.83
9,603678.SH,20220330,51.75,29386.2437,0.35,24.8967,1364.9499999999998,0.04644860411335933,29.48,56.83
10,603678.SH,20220329,49.86000000000001,38313.1571,0.35,23.9874,3192.2500000000005,0.08331994128460901,29.48,56.83
11,603678.SH,20220328,48.98,35474.732,0.36,23.5641,-1176.17,-0.033155148289774256,29.48,56.83
12,603678.SH,20220325,50.830000000000005,43352.157900000006,0.37,24.4541,-3500.0299999999993,-0.08073485080197124,29.48,56.83
13,603678.SH,20220321,55.24,57437.78660000001,0.39,41.6782,-773.1500000000001,-0.013460651006353368,45.36,83.81
14,603678.SH,20220318,52.370000000000005,47186.0796,0.46,39.5128,-72.0600000000004,-0.001527145306642521,45.36,83.81
15,603678.SH,20220315,49.6,33502.628899999996,0.47,37.4229,-529.1300000000001,-0.01579368596952104,45.36,83.81
